Trinity_protein	sseqid.x	evalue.x
TRINITY_DN4398_c1_g1_i5	sp|P0C7Q7|PPR38_ARATH	5.88e-06
TRINITY_DN4398_c1_g1_i7	sp|P0C7Q7|PPR38_ARATH	8.95e-23
TRINITY_DN4398_c1_g1_i7	sp|P0C7Q7|PPR38_ARATH	5.94e-19
TRINITY_DN4398_c1_g1_i7	sp|P0C7Q7|PPR38_ARATH	5.16e-15
TRINITY_DN4398_c1_g1_i7	sp|P0C7Q7|PPR38_ARATH	2.09e-13
TRINITY_DN4398_c1_g1_i7	sp|P0C7Q7|PPR38_ARATH	2.86e-13
TRINITY_DN4398_c1_g1_i7	sp|P0C7Q7|PPR38_ARATH	5.86e-12
TRINITY_DN4398_c1_g1_i7	sp|P0C7Q7|PPR38_ARATH	1.28e-08
TRINITY_DN4398_c1_g1_i7	sp|P0C7Q7|PPR38_ARATH	5.85e-06
TRINITY_DN4398_c1_g1_i8	sp|P0C7Q7|PPR38_ARATH	8.47e-23
TRINITY_DN4398_c1_g1_i8	sp|P0C7Q7|PPR38_ARATH	5.64e-19
TRINITY_DN4398_c1_g1_i8	sp|P0C7Q7|PPR38_ARATH	4.91e-15
TRINITY_DN4398_c1_g1_i8	sp|P0C7Q7|PPR38_ARATH	2e-13
TRINITY_DN4398_c1_g1_i8	sp|P0C7Q7|PPR38_ARATH	2.73e-13
TRINITY_DN4398_c1_g1_i8	sp|P0C7Q7|PPR38_ARATH	5.6e-12
TRINITY_DN4398_c1_g1_i8	sp|P0C7Q7|PPR38_ARATH	1.22e-08
TRINITY_DN4398_c1_g1_i8	sp|P0C7Q7|PPR38_ARATH	5.62e-06
TRINITY_DN4398_c1_g1_i2	sp|P0C7Q7|PPR38_ARATH	5.3e-23
TRINITY_DN4398_c1_g1_i2	sp|P0C7Q7|PPR38_ARATH	3.14e-19
TRINITY_DN4398_c1_g1_i2	sp|P0C7Q7|PPR38_ARATH	2.57e-15
TRINITY_DN4398_c1_g1_i2	sp|P0C7Q7|PPR38_ARATH	1.14e-13
TRINITY_DN4398_c1_g1_i2	sp|P0C7Q7|PPR38_ARATH	1.3e-13
TRINITY_DN4398_c1_g1_i2	sp|P0C7Q7|PPR38_ARATH	5.24e-12
TRINITY_DN4398_c1_g1_i2	sp|P0C7Q7|PPR38_ARATH	5.37e-09
TRINITY_DN4398_c1_g1_i2	sp|P0C7Q7|PPR38_ARATH	2.32e-06
TRINITY_DN4398_c1_g1_i9	sp|P0C7Q7|PPR38_ARATH	8.75e-23
TRINITY_DN4398_c1_g1_i9	sp|P0C7Q7|PPR38_ARATH	5.82e-19
TRINITY_DN4398_c1_g1_i9	sp|P0C7Q7|PPR38_ARATH	5.06e-15
TRINITY_DN4398_c1_g1_i9	sp|P0C7Q7|PPR38_ARATH	2.05e-13
TRINITY_DN4398_c1_g1_i9	sp|P0C7Q7|PPR38_ARATH	2.8e-13
TRINITY_DN4398_c1_g1_i9	sp|P0C7Q7|PPR38_ARATH	5.75e-12
TRINITY_DN4398_c1_g1_i9	sp|P0C7Q7|PPR38_ARATH	1.26e-08
TRINITY_DN4398_c1_g1_i9	sp|P0C7Q7|PPR38_ARATH	5.75e-06
TRINITY_DN4398_c1_g1_i3	sp|P0C7Q7|PPR38_ARATH	8.84e-23
TRINITY_DN4398_c1_g1_i3	sp|P0C7Q7|PPR38_ARATH	5.87e-19
TRINITY_DN4398_c1_g1_i3	sp|P0C7Q7|PPR38_ARATH	5.1e-15
TRINITY_DN4398_c1_g1_i3	sp|P0C7Q7|PPR38_ARATH	2.07e-13
TRINITY_DN4398_c1_g1_i3	sp|P0C7Q7|PPR38_ARATH	2.82e-13
TRINITY_DN4398_c1_g1_i3	sp|P0C7Q7|PPR38_ARATH	5.8e-12
TRINITY_DN4398_c1_g1_i3	sp|P0C7Q7|PPR38_ARATH	1.26e-08
TRINITY_DN4398_c1_g1_i3	sp|P0C7Q7|PPR38_ARATH	5.79e-06
TRINITY_DN4398_c1_g1_i10	sp|P0C7Q7|PPR38_ARATH	6.26e-23
TRINITY_DN4398_c1_g1_i10	sp|P0C7Q7|PPR38_ARATH	3.67e-19
TRINITY_DN4398_c1_g1_i10	sp|P0C7Q7|PPR38_ARATH	2.96e-15
TRINITY_DN4398_c1_g1_i10	sp|P0C7Q7|PPR38_ARATH	1.31e-13
TRINITY_DN4398_c1_g1_i10	sp|P0C7Q7|PPR38_ARATH	1.5e-13
TRINITY_DN4398_c1_g1_i10	sp|P0C7Q7|PPR38_ARATH	5.98e-12
TRINITY_DN4398_c1_g1_i10	sp|P0C7Q7|PPR38_ARATH	6.08e-09
TRINITY_DN4398_c1_g1_i10	sp|P0C7Q7|PPR38_ARATH	2.61e-06
TRINITY_DN4398_c3_g1_i3	sp|Q5RBV9|R212B_PONAB	2.9
TRINITY_DN4398_c3_g1_i2	sp|Q5RBV9|R212B_PONAB	2.7
TRINITY_DN4398_c3_g1_i1	sp|Q5RBV9|R212B_PONAB	2.5
TRINITY_DN4371_c0_g1_i2	sp|P52285|SKP1A_DICDI	2.42e-54
TRINITY_DN4371_c0_g1_i8	sp|P52285|SKP1A_DICDI	9.42e-54
TRINITY_DN4371_c0_g1_i3	sp|P52285|SKP1A_DICDI	4.18e-53
TRINITY_DN4371_c0_g1_i5	sp|P52285|SKP1A_DICDI	7.91e-54
TRINITY_DN4371_c0_g1_i4	sp|P52285|SKP1A_DICDI	3.74e-54
TRINITY_DN4371_c0_g1_i12	sp|P52285|SKP1A_DICDI	9.15e-54
TRINITY_DN4371_c0_g1_i11	sp|P52285|SKP1A_DICDI	1.06e-53
TRINITY_DN4378_c0_g2_i1	sp|Q5T4D3|TMTC4_HUMAN	1.69e-104
TRINITY_DN4378_c0_g2_i1	sp|Q5T4D3|TMTC4_HUMAN	0.005
TRINITY_DN4378_c0_g2_i1	sp|Q5T4D3|TMTC4_HUMAN	0.59
TRINITY_DN4378_c0_g1_i2	sp|Q8BG19|TMTC4_MOUSE	2.07e-86
TRINITY_DN4378_c0_g1_i4	sp|Q8BG19|TMTC4_MOUSE	3.2e-59
TRINITY_DN4378_c0_g1_i4	sp|Q8BG19|TMTC4_MOUSE	6.21e-10
TRINITY_DN4378_c0_g1_i1	sp|Q8BG19|TMTC4_MOUSE	6.68e-85
TRINITY_DN4378_c0_g1_i3	sp|Q8BG19|TMTC4_MOUSE	6.41e-60
TRINITY_DN4378_c0_g1_i3	sp|Q8BG19|TMTC4_MOUSE	5.5e-10
TRINITY_DN4353_c0_g1_i1	sp|Q39055|CNX2_ARATH	1.95e-84
TRINITY_DN4353_c0_g1_i3	sp|Q39055|CNX2_ARATH	4.28e-85
TRINITY_DN4353_c0_g1_i2	sp|Q39055|CNX2_ARATH	1.44e-84
TRINITY_DN4376_c0_g1_i1	sp|P34098|MANA_DICDI	1.6
TRINITY_DN4313_c0_g1_i1	sp|Q3T0X5|PSA1_BOVIN	3.54e-119
TRINITY_DN4333_c0_g1_i3	sp|Q67UX7|P2C10_ORYSJ	1.57e-33
TRINITY_DN4333_c0_g1_i1	sp|Q67UX7|P2C10_ORYSJ	9.09e-34
TRINITY_DN4333_c0_g1_i5	sp|Q67UX7|P2C10_ORYSJ	8.58e-34
TRINITY_DN4333_c0_g1_i2	sp|Q67UX7|P2C10_ORYSJ	8.01e-34
TRINITY_DN4381_c1_g1_i1	sp|Q9Y115|UN93L_DROME	4.57e-125
TRINITY_DN4381_c1_g1_i3	sp|Q9Y115|UN93L_DROME	1.42e-125
TRINITY_DN4377_c0_g1_i2	sp|P58058|NADK_MOUSE	9.28e-146
TRINITY_DN4377_c0_g1_i1	sp|P58058|NADK_MOUSE	2.45e-155
TRINITY_DN4300_c0_g1_i5	sp|Q9LZF6|CD48E_ARATH	0
TRINITY_DN4300_c0_g1_i9	sp|Q9LZF6|CD48E_ARATH	0
TRINITY_DN4300_c0_g1_i2	sp|Q9LZF6|CD48E_ARATH	0
TRINITY_DN4300_c0_g1_i4	sp|Q9LZF6|CD48E_ARATH	0
TRINITY_DN4300_c0_g1_i1	sp|Q9LZF6|CD48E_ARATH	0
TRINITY_DN4300_c0_g1_i3	sp|Q9LZF6|CD48E_ARATH	0
TRINITY_DN4300_c0_g1_i10	sp|Q9LZF6|CD48E_ARATH	0
TRINITY_DN4300_c0_g1_i12	sp|Q9LZF6|CD48E_ARATH	0
TRINITY_DN4300_c0_g1_i11	sp|Q9LZF6|CD48E_ARATH	0
TRINITY_DN4339_c0_g1_i7	sp|P35465|PAK1_RAT	1.13e-15
TRINITY_DN49193_c0_g1_i1	sp|Q5R5J8|ZDHC9_PONAB	1.2e-25
TRINITY_DN49199_c0_g1_i1	sp|Q925U4|EDEM1_MOUSE	3.54e-150
TRINITY_DN49191_c0_g1_i1	sp|Q9CY21|BUD23_MOUSE	6.57e-97
TRINITY_DN49149_c0_g1_i1	sp|O33469|PAAK_PSEPU	2.4
TRINITY_DN49126_c0_g1_i1	sp|A5DQ25|NCB5R_PICGU	3.56e-24
TRINITY_DN49168_c0_g1_i1	sp|P21872|PUR2_CHICK	8.53e-37
TRINITY_DN49147_c0_g1_i1	sp|Q9EP71|RAI14_MOUSE	4.17e-10
TRINITY_DN49147_c0_g1_i1	sp|Q9EP71|RAI14_MOUSE	0.000736
TRINITY_DN49146_c0_g1_i1	sp|Q9JMJ4|PRP19_RAT	8.35e-102
TRINITY_DN49165_c0_g1_i1	sp|Q8VY06|PREP2_ARATH	1.43e-72
TRINITY_DN49189_c0_g1_i1	sp|Q5PRA2|DHTK1_DANRE	6.29e-32
TRINITY_DN49110_c0_g1_i1	sp|B3MA91|QTRT2_DROAN	1.84e-25
TRINITY_DN24837_c0_g1_i2	sp|Q0CY48|DBP9_ASPTN	1.41e-58
TRINITY_DN24837_c0_g1_i2	sp|Q0CY48|DBP9_ASPTN	5.35e-28
TRINITY_DN24848_c0_g2_i1	sp|Q75JF3|CLCC_DICDI	3.99e-08
TRINITY_DN24889_c0_g2_i1	sp|Q32TF8|EFHC2_DANRE	2.4e-17
TRINITY_DN24889_c0_g2_i1	sp|Q32TF8|EFHC2_DANRE	0.82
TRINITY_DN24802_c0_g1_i1	sp|Q9L9D7|COCE_RHOSM	4.29e-21
TRINITY_DN24841_c1_g1_i1	sp|A9BQY2|RHMD_DELAS	4
TRINITY_DN24841_c1_g1_i10	sp|A9BQY2|RHMD_DELAS	3.2
TRINITY_DN24841_c1_g1_i7	sp|A9BQY2|RHMD_DELAS	3.2
TRINITY_DN24841_c0_g1_i4	sp|P80093|PDS_CAPAN	7.77e-29
TRINITY_DN24841_c0_g1_i6	sp|P80093|PDS_CAPAN	8.84e-29
TRINITY_DN24891_c0_g1_i1	sp|Q1PCQ8|PSD1_TOXGG	7.51e-85
TRINITY_DN24891_c0_g1_i2	sp|Q1PCQ8|PSD1_TOXGG	1.37e-84
TRINITY_DN24832_c0_g1_i1	sp|Q26636|CATL_SARPE	2.61e-18
TRINITY_DN24887_c0_g1_i1	sp|Q39054|CNX1_ARATH	1.3e-92
TRINITY_DN24887_c0_g1_i2	sp|Q39054|CNX1_ARATH	1.74e-94
TRINITY_DN24814_c0_g1_i1	sp|Q75JN1|IFKC_DICDI	9.11e-24
TRINITY_DN24869_c0_g1_i1	sp|Q42093|AB2C_ARATH	1.39e-10
TRINITY_DN24823_c0_g1_i1	sp|P39101|CAJ1_YEAST	3.81e-19
TRINITY_DN24872_c0_g2_i1	sp|B2RW38|CFA58_MOUSE	3.24e-24
TRINITY_DN24872_c0_g1_i1	sp|B2RW38|CFA58_MOUSE	1.33e-22
TRINITY_DN24871_c0_g3_i1	sp|Q9ERK0|RIPK4_MOUSE	2.5e-08
TRINITY_DN24871_c0_g3_i1	sp|Q9ERK0|RIPK4_MOUSE	0.000571
TRINITY_DN24871_c0_g3_i1	sp|Q9ERK0|RIPK4_MOUSE	0.21
TRINITY_DN24871_c0_g3_i1	sp|Q9ERK0|RIPK4_MOUSE	0.68
TRINITY_DN24885_c0_g2_i1	sp|A0MFS9|CACLC_ARATH	8.35e-18
TRINITY_DN24826_c0_g2_i1	sp|Q969X6|UTP4_HUMAN	2.74e-87
TRINITY_DN24877_c0_g2_i1	sp|Q8J0F5|MLCB_PENCI	9.54e-05
TRINITY_DN24877_c0_g1_i2	sp|Q7TXK8|MSL7_MYCBO	1.08e-14
TRINITY_DN24897_c1_g5_i1	sp|Q1MTE5|ARL3_DANRE	1.69e-85
TRINITY_DN24828_c0_g1_i2	sp|Q8RXN5|TYW1_ARATH	2.2e-165
TRINITY_DN24828_c0_g1_i1	sp|Q8RXN5|TYW1_ARATH	7.55e-166
TRINITY_DN24858_c0_g1_i1	sp|Q92614|MY18A_HUMAN	1.05e-108
TRINITY_DN24888_c0_g1_i1	sp|Q91YR5|MET13_MOUSE	3.1e-12
TRINITY_DN24868_c0_g1_i1	sp|Q8N1V2|CFA52_HUMAN	2.3e-16
TRINITY_DN24868_c0_g2_i1	sp|A8ILK1|CFA52_CHLRE	2.08e-41
TRINITY_DN24809_c0_g1_i1	sp|P53273|YG35_YEAST	3.15e-14
TRINITY_DN24809_c0_g1_i2	sp|P53273|YG35_YEAST	2.53e-14
TRINITY_DN24854_c0_g1_i1	sp|Q04996|HAT31_ARATH	9.28e-11
TRINITY_DN24811_c0_g1_i1	sp|Q7XW27|P2C38_ORYSJ	1.04e-23
TRINITY_DN24811_c0_g1_i2	sp|Q7XW27|P2C38_ORYSJ	1.2e-23
TRINITY_DN24808_c0_g2_i1	sp|Q9VWQ2|S6KL_DROME	1.66e-30
TRINITY_DN24881_c0_g1_i2	sp|Q9SBJ1|PDK_ARATH	7.07e-45
TRINITY_DN24881_c0_g1_i1	sp|Q9SBJ1|PDK_ARATH	6.92e-44
TRINITY_DN24830_c0_g1_i1	sp|P42704|LPPRC_HUMAN	2.05e-129
TRINITY_DN24833_c0_g1_i1	sp|Q9W770|SPON1_CHICK	1.8e-12
TRINITY_DN24833_c0_g1_i1	sp|Q9W770|SPON1_CHICK	9.34e-11
TRINITY_DN24833_c0_g1_i1	sp|Q9W770|SPON1_CHICK	2.01e-06
TRINITY_DN24833_c0_g1_i1	sp|Q9W770|SPON1_CHICK	1.5
TRINITY_DN24833_c0_g1_i2	sp|Q9W770|SPON1_CHICK	1.46e-12
TRINITY_DN24833_c0_g1_i2	sp|Q9W770|SPON1_CHICK	7.72e-11
TRINITY_DN24833_c0_g1_i2	sp|Q9W770|SPON1_CHICK	1.73e-06
TRINITY_DN24833_c0_g1_i2	sp|Q9W770|SPON1_CHICK	1.3
TRINITY_DN24845_c0_g1_i1	sp|O48646|GPX6_ARATH	6.1e-56
TRINITY_DN24845_c0_g2_i4	sp|P30574|CBPY_CANAX	4.01e-66
TRINITY_DN24845_c0_g2_i2	sp|P30574|CBPY_CANAX	1.8e-65
TRINITY_DN24893_c1_g2_i1	sp|Q10901|EAA1_CAEEL	6.31e-31
TRINITY_DN50082_c0_g1_i1	sp|Q14679|TTLL4_HUMAN	5.41e-48
TRINITY_DN50063_c0_g1_i1	sp|O89016|ABCD4_MOUSE	9.51e-25
TRINITY_DN50010_c0_g1_i1	sp|Q4UMH6|Y381_RICFE	1.51e-22
TRINITY_DN50010_c0_g1_i1	sp|Q4UMH6|Y381_RICFE	1.87e-21
TRINITY_DN50010_c0_g1_i1	sp|Q4UMH6|Y381_RICFE	5.59e-21
TRINITY_DN50010_c0_g1_i1	sp|Q4UMH6|Y381_RICFE	8.45e-21
TRINITY_DN50010_c0_g1_i1	sp|Q4UMH6|Y381_RICFE	3.15e-19
TRINITY_DN50010_c0_g1_i1	sp|Q4UMH6|Y381_RICFE	2.29e-18
TRINITY_DN50010_c0_g1_i1	sp|Q4UMH6|Y381_RICFE	3.04e-16
TRINITY_DN50010_c0_g1_i1	sp|Q4UMH6|Y381_RICFE	8.54e-16
TRINITY_DN50010_c0_g1_i1	sp|Q4UMH6|Y381_RICFE	4.93e-14
TRINITY_DN50010_c0_g1_i1	sp|Q4UMH6|Y381_RICFE	2.31e-11
TRINITY_DN50010_c0_g1_i1	sp|Q4UMH6|Y381_RICFE	6.3
TRINITY_DN50055_c0_g1_i1	sp|B3DHU2|TMM65_DANRE	3.19e-20
TRINITY_DN50002_c0_g1_i1	sp|P09398|STRG_STRGR	2.37e-24
TRINITY_DN50090_c0_g1_i1	sp|Q923J6|DYH12_RAT	9.22e-34
TRINITY_DN50029_c0_g1_i1	sp|Q55GU0|Y9955_DICDI	3.22e-54
TRINITY_DN15707_c0_g2_i1	sp|Q9FY61|TR120_ARATH	3.7
TRINITY_DN15747_c0_g2_i1	sp|Q8W4I9|AML1_ARATH	0.004
TRINITY_DN15747_c0_g1_i1	sp|Q9SVV9|AML3_ARATH	0.006
TRINITY_DN15737_c0_g1_i1	sp|Q8H136|RH14_ARATH	2.67e-114
TRINITY_DN15764_c0_g1_i1	sp|Q9ZG89|ENGB_CAUCR	3.15e-25
TRINITY_DN15748_c2_g1_i1	sp|Q9VPQ2|DJSHV_DROME	9.87e-14
TRINITY_DN15748_c2_g1_i3	sp|Q9VPQ2|DJSHV_DROME	1.18e-13
TRINITY_DN15748_c0_g2_i1	sp|B4PZB4|RTEL1_DROYA	4.72e-52
TRINITY_DN15748_c0_g2_i2	sp|B4PZB4|RTEL1_DROYA	1.15e-51
TRINITY_DN15715_c0_g4_i1	sp|Q9FGQ6|EB1C_ARATH	1.69e-49
TRINITY_DN15729_c0_g1_i5	sp|P00791|PEPA_PIG	1.11e-21
TRINITY_DN15729_c0_g1_i2	sp|P00791|PEPA_PIG	8.59e-22
TRINITY_DN15729_c0_g1_i6	sp|P00791|PEPA_PIG	1.27e-15
TRINITY_DN15729_c0_g1_i3	sp|P00791|PEPA_PIG	1.42e-21
TRINITY_DN15786_c0_g1_i3	sp|O05399|YRHG_BACSU	4.06e-26
TRINITY_DN15786_c0_g1_i4	sp|O05399|YRHG_BACSU	4.03e-26
TRINITY_DN15733_c1_g1_i3	sp|P27484|GRP2_NICSY	1.93e-17
TRINITY_DN15733_c1_g1_i4	sp|P27484|GRP2_NICSY	2.12e-17
TRINITY_DN15733_c1_g1_i1	sp|P27484|GRP2_NICSY	9.29e-18
TRINITY_DN15722_c1_g1_i5	sp|A1WR16|TIG_VEREI	0.094
TRINITY_DN15750_c0_g1_i2	sp|P38519|RS17_THEMA	2.2
TRINITY_DN15750_c0_g1_i3	sp|Q9SZ67|WRK19_ARATH	0.02
TRINITY_DN15746_c0_g2_i1	sp|Q6P7W2|SHKB1_MOUSE	5.83e-06
TRINITY_DN15709_c0_g1_i1	sp|Q8VCI5|PEX19_MOUSE	0.7
TRINITY_DN15708_c0_g4_i1	sp|O89344|L_HENDH	1.3
TRINITY_DN3440_c3_g1_i2	sp|Q8VEG6|CNO6L_MOUSE	0
TRINITY_DN3440_c3_g1_i1	sp|Q8VEG6|CNO6L_MOUSE	0
TRINITY_DN3440_c1_g1_i2	sp|Q80UM7|MOGS_MOUSE	0
TRINITY_DN3494_c0_g1_i2	sp|P55853|SUMO_CAEEL	3.54e-38
TRINITY_DN3494_c0_g1_i1	sp|P55853|SUMO_CAEEL	3.71e-38
TRINITY_DN3403_c1_g2_i2	sp|B9JZA3|GUAA_AGRVS	2.9
TRINITY_DN3403_c1_g2_i8	sp|B9JZA3|GUAA_AGRVS	2.9
TRINITY_DN3403_c1_g2_i7	sp|B9JZA3|GUAA_AGRVS	1.7
TRINITY_DN3403_c0_g2_i1	sp|Q9S281|SERB_STRCO	2.08e-57
TRINITY_DN3403_c0_g2_i1	sp|Q9S281|SERB_STRCO	8.18e-05
TRINITY_DN3403_c0_g2_i1	sp|Q9S281|SERB_STRCO	5.3
TRINITY_DN3414_c0_g1_i2	sp|P50607|TUB_HUMAN	6.67e-67
TRINITY_DN3414_c0_g1_i3	sp|P50607|TUB_HUMAN	1.3e-67
TRINITY_DN3466_c0_g1_i2	sp|P85200|PRS6B_HELAN	0
TRINITY_DN3431_c0_g1_i3	sp|A1A5R9|STPG2_RAT	1.1
TRINITY_DN3431_c0_g1_i4	sp|A1A5R9|STPG2_RAT	1.6
TRINITY_DN3431_c0_g1_i2	sp|A1A5R9|STPG2_RAT	1.6
TRINITY_DN3454_c0_g1_i2	sp|Q01294|CARP_NEUCR	1.96e-17
TRINITY_DN3454_c0_g1_i1	sp|Q01294|CARP_NEUCR	1.7e-17
TRINITY_DN3454_c0_g2_i11	sp|Q6ZJM9|EHD3_ORYSJ	0.2
TRINITY_DN3454_c0_g2_i4	sp|Q6ZJM9|EHD3_ORYSJ	0.16
TRINITY_DN3454_c0_g2_i6	sp|Q6ZJM9|EHD3_ORYSJ	0.18
TRINITY_DN3454_c0_g2_i9	sp|Q6ZJM9|EHD3_ORYSJ	0.17
TRINITY_DN3454_c0_g2_i10	sp|Q6ZJM9|EHD3_ORYSJ	0.23
TRINITY_DN3454_c0_g2_i14	sp|Q6ZJM9|EHD3_ORYSJ	0.2
TRINITY_DN3407_c0_g1_i3	sp|Q84XU2|PPP5_ARATH	3.64e-169
TRINITY_DN3407_c0_g1_i7	sp|Q84XU2|PPP5_ARATH	3.37e-159
TRINITY_DN3499_c0_g2_i2	sp|Q9BQ70|TCF25_HUMAN	1.17e-23
TRINITY_DN3499_c0_g2_i1	sp|Q9BQ70|TCF25_HUMAN	1.18e-23
TRINITY_DN3406_c0_g2_i6	sp|Q5Z8Q9|PRP2A_ORYSJ	2.52e-150
TRINITY_DN3406_c0_g2_i1	sp|Q5Z8Q9|PRP2A_ORYSJ	3.42e-145
TRINITY_DN3406_c0_g1_i4	sp|Q5Z8Q9|PRP2A_ORYSJ	4.76e-133
TRINITY_DN3406_c0_g1_i5	sp|Q5Z8Q9|PRP2A_ORYSJ	8.96e-131
TRINITY_DN3406_c0_g1_i1	sp|Q5Z8Q9|PRP2A_ORYSJ	9.64e-133
TRINITY_DN3406_c0_g1_i3	sp|Q5Z8Q9|PRP2A_ORYSJ	5.09e-131
TRINITY_DN3428_c0_g1_i7	sp|P59114|PCIF1_MOUSE	4.29e-36
TRINITY_DN3428_c0_g1_i3	sp|P59114|PCIF1_MOUSE	8.31e-36
TRINITY_DN3453_c0_g1_i5	sp|Q8TDD1|DDX54_HUMAN	0
TRINITY_DN3453_c0_g1_i4	sp|Q8TDD1|DDX54_HUMAN	0
TRINITY_DN3453_c0_g1_i3	sp|Q8TDD1|DDX54_HUMAN	0
TRINITY_DN3408_c0_g1_i1	sp|Q4UMH6|Y381_RICFE	3.32e-05
TRINITY_DN3408_c0_g1_i4	sp|Q9VCA8|ANKHM_DROME	5.59e-05
TRINITY_DN3408_c0_g1_i4	sp|Q9VCA8|ANKHM_DROME	0.014
TRINITY_DN3408_c0_g1_i4	sp|Q9VCA8|ANKHM_DROME	0.75
TRINITY_DN3408_c0_g1_i4	sp|Q9VCA8|ANKHM_DROME	0.9
TRINITY_DN3408_c0_g1_i2	sp|Q1RI31|Y902_RICBR	0.004
TRINITY_DN3408_c0_g1_i2	sp|Q1RI31|Y902_RICBR	2.9
TRINITY_DN3408_c0_g1_i2	sp|Q1RI31|Y902_RICBR	3.6
TRINITY_DN3408_c0_g1_i6	sp|Q1RI31|Y902_RICBR	0.002
TRINITY_DN3408_c0_g1_i6	sp|Q1RI31|Y902_RICBR	2.1
TRINITY_DN3408_c0_g1_i6	sp|Q1RI31|Y902_RICBR	2.3
TRINITY_DN3408_c0_g1_i3	sp|Q1RI31|Y902_RICBR	0.002
TRINITY_DN3408_c0_g1_i3	sp|Q1RI31|Y902_RICBR	2
TRINITY_DN3408_c0_g1_i3	sp|Q1RI31|Y902_RICBR	2.2
TRINITY_DN3408_c0_g1_i7	sp|Q1RI31|Y902_RICBR	0.004
TRINITY_DN3408_c0_g1_i7	sp|Q1RI31|Y902_RICBR	3.4
TRINITY_DN3408_c0_g1_i7	sp|Q1RI31|Y902_RICBR	4.2
TRINITY_DN3408_c0_g1_i5	sp|Q9VCA8|ANKHM_DROME	8.67e-05
TRINITY_DN3408_c0_g1_i5	sp|Q9VCA8|ANKHM_DROME	0.016
TRINITY_DN3408_c0_g1_i5	sp|Q9VCA8|ANKHM_DROME	0.73
TRINITY_DN3408_c0_g1_i5	sp|Q9VCA8|ANKHM_DROME	0.79
TRINITY_DN3472_c0_g1_i4	sp|Q24F59|RL36_TETTS	2.78e-30
TRINITY_DN3472_c0_g1_i1	sp|Q24F59|RL36_TETTS	6.38e-30
TRINITY_DN3472_c0_g1_i2	sp|Q24F59|RL36_TETTS	1.33e-29
TRINITY_DN3472_c0_g1_i3	sp|Q24F59|RL36_TETTS	1.01e-29
TRINITY_DN3472_c0_g1_i5	sp|Q24F59|RL36_TETTS	4.34e-29
TRINITY_DN3421_c0_g1_i1	sp|Q8K0F1|TBC23_MOUSE	1.42e-148
TRINITY_DN3421_c0_g3_i4	sp|Q8BRK9|MA2A2_MOUSE	9.9e-55
TRINITY_DN3429_c0_g1_i2	sp|Q5I012|S38AA_MOUSE	1.74e-67
TRINITY_DN3486_c0_g1_i14	sp|Q32M78|ZN699_HUMAN	2.69e-47
TRINITY_DN3486_c0_g1_i14	sp|Q32M78|ZN699_HUMAN	8.35e-46
TRINITY_DN3486_c0_g1_i14	sp|Q32M78|ZN699_HUMAN	3.2e-43
TRINITY_DN3486_c0_g1_i14	sp|Q32M78|ZN699_HUMAN	6.92e-41
TRINITY_DN3486_c0_g1_i14	sp|Q32M78|ZN699_HUMAN	1.87e-39
TRINITY_DN3486_c0_g1_i14	sp|Q32M78|ZN699_HUMAN	8.67e-38
TRINITY_DN3486_c0_g1_i14	sp|Q32M78|ZN699_HUMAN	2.9e-36
TRINITY_DN3486_c0_g1_i14	sp|Q32M78|ZN699_HUMAN	1.24e-31
TRINITY_DN3486_c0_g1_i14	sp|Q32M78|ZN699_HUMAN	1.73e-30
TRINITY_DN3486_c0_g1_i14	sp|Q32M78|ZN699_HUMAN	5.77e-29
TRINITY_DN3486_c0_g1_i14	sp|Q32M78|ZN699_HUMAN	2.13e-17
TRINITY_DN3486_c0_g1_i14	sp|Q32M78|ZN699_HUMAN	9.65e-15
TRINITY_DN3486_c0_g1_i14	sp|Q32M78|ZN699_HUMAN	2.61e-13
TRINITY_DN3486_c0_g1_i14	sp|Q32M78|ZN699_HUMAN	8.79e-13
TRINITY_DN3486_c0_g1_i14	sp|Q32M78|ZN699_HUMAN	9.26e-08
TRINITY_DN3486_c0_g1_i6	sp|Q06732|ZN33B_HUMAN	9.41e-75
TRINITY_DN3486_c0_g1_i6	sp|Q06732|ZN33B_HUMAN	1.57e-73
TRINITY_DN3486_c0_g1_i6	sp|Q06732|ZN33B_HUMAN	1.58e-73
TRINITY_DN3486_c0_g1_i6	sp|Q06732|ZN33B_HUMAN	2.88e-72
TRINITY_DN3486_c0_g1_i6	sp|Q06732|ZN33B_HUMAN	2.72e-63
TRINITY_DN3486_c0_g1_i6	sp|Q06732|ZN33B_HUMAN	1.47e-50
TRINITY_DN3486_c0_g1_i6	sp|Q06732|ZN33B_HUMAN	2.11e-44
TRINITY_DN3486_c0_g1_i6	sp|Q06732|ZN33B_HUMAN	3.61e-20
TRINITY_DN3486_c0_g1_i2	sp|Q86UE3|ZN546_HUMAN	1.14e-33
TRINITY_DN3486_c0_g1_i2	sp|Q86UE3|ZN546_HUMAN	1.57e-27
TRINITY_DN3486_c0_g1_i2	sp|Q86UE3|ZN546_HUMAN	6.1e-27
TRINITY_DN3486_c0_g1_i2	sp|Q86UE3|ZN546_HUMAN	2.6e-26
TRINITY_DN3486_c0_g1_i2	sp|Q86UE3|ZN546_HUMAN	3.73e-26
TRINITY_DN3486_c0_g1_i2	sp|Q86UE3|ZN546_HUMAN	1.25e-25
TRINITY_DN3486_c0_g1_i2	sp|Q86UE3|ZN546_HUMAN	2.07e-25
