"Trinity_protein" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12"
"1" "TRINITY_DN21464_c0_g1_i1" "tr|A0A1Q9E613|A0A1Q9E613_SYMMI" 38.298 611 346 10 801 2570 567 1167 6.69e-116 382
"7457" "TRINITY_DN6700_c0_g2_i2" "tr|A0A1Q9C5W6|A0A1Q9C5W6_SYMMI" 70.654 535 154 3 43 1644 49 581 0 739
"7458" "TRINITY_DN6743_c0_g1_i2" "tr|A0A1Q9F4K9|A0A1Q9F4K9_SYMMI" 50.877 114 50 3 1658 1332 874 986 9.28e-23 105
"7459" "TRINITY_DN6743_c0_g1_i3" "tr|A0A1Q9F4K9|A0A1Q9F4K9_SYMMI" 50.877 114 50 3 1848 1522 874 986 1.19e-22 105
"7460" "TRINITY_DN6743_c0_g1_i1" "tr|A0A1Q9F4K9|A0A1Q9F4K9_SYMMI" 50.877 114 50 3 1766 1440 874 986 1.07e-22 105
"7461" "TRINITY_DN6754_c0_g1_i1" "tr|F8QQH0|F8QQH0_KARVE" 58.824 187 75 1 658 98 1 185 2.58e-67 207
"7462" "TRINITY_DN6713_c0_g2_i2" "tr|A0A1Q9DC95|A0A1Q9DC95_SYMMI" 40.385 208 113 4 4 606 363 566 3.56e-37 142
"7463" "TRINITY_DN6713_c0_g2_i1" "tr|A0A1Q9DC95|A0A1Q9DC95_SYMMI" 40.385 208 113 4 4 606 363 566 1.12e-37 142
"7464" "TRINITY_DN6713_c0_g3_i1" "tr|A0A1Q9DC95|A0A1Q9DC95_SYMMI" 37.151 358 200 7 55 1053 11 368 1.36e-84 268
"7465" "TRINITY_DN6725_c0_g1_i1" "tr|A0A1Q9DP97|A0A1Q9DP97_SYMMI" 28.629 248 141 6 1546 803 569 780 6.05e-21 99.4
"7466" "TRINITY_DN6725_c0_g1_i2" "tr|A0A1Q9DP97|A0A1Q9DP97_SYMMI" 28.629 248 141 6 1503 760 569 780 5.67e-21 99.4
"7467" "TRINITY_DN6725_c0_g1_i3" "tr|A0A1Q9DP97|A0A1Q9DP97_SYMMI" 28.629 248 141 6 1412 669 569 780 4.84e-21 99.4
"7468" "TRINITY_DN6777_c0_g1_i4" "tr|A0A1Q9D6V8|A0A1Q9D6V8_SYMMI" 30.933 375 232 15 1703 2797 5234 5591 1.69e-37 156
"7469" "TRINITY_DN6777_c0_g1_i4" "tr|A0A1Q9D6V8|A0A1Q9D6V8_SYMMI" 27.688 372 246 9 1706 2797 1310 1666 1.31e-33 143
"7470" "TRINITY_DN6777_c0_g1_i1" "tr|A0A1Q9D6V8|A0A1Q9D6V8_SYMMI" 30.933 375 232 15 1703 2797 5234 5591 1.81e-37 156
"7471" "TRINITY_DN6777_c0_g1_i1" "tr|A0A1Q9D6V8|A0A1Q9D6V8_SYMMI" 27.688 372 246 9 1706 2797 1310 1666 1.4e-33 143
"7472" "TRINITY_DN6777_c0_g1_i2" "tr|A0A1Q9D6V8|A0A1Q9D6V8_SYMMI" 30.933 375 232 15 1703 2797 5234 5591 1.78e-37 156
"7473" "TRINITY_DN6777_c0_g1_i2" "tr|A0A1Q9D6V8|A0A1Q9D6V8_SYMMI" 27.688 372 246 9 1706 2797 1310 1666 1.37e-33 143
"7474" "TRINITY_DN6769_c0_g2_i4" "tr|A0A1Q9CSL2|A0A1Q9CSL2_SYMMI" 77.381 84 19 0 791 540 1 84 7.37e-43 144
"7475" "TRINITY_DN6769_c0_g2_i2" "tr|A0A1Q9CSL2|A0A1Q9CSL2_SYMMI" 77.381 84 19 0 945 694 1 84 3.08e-42 144
"7476" "TRINITY_DN6769_c0_g2_i3" "tr|A0A1Q9CSL2|A0A1Q9CSL2_SYMMI" 77.381 84 19 0 1053 802 1 84 7.49e-42 144
"7477" "TRINITY_DN6717_c0_g1_i2" "tr|A0A1Q9D0I7|A0A1Q9D0I7_SYMMI" 47.368 76 34 2 1563 1354 100 175 5.32e-16 82.8
"7478" "TRINITY_DN6717_c0_g1_i1" "tr|A0A1Q9D0I7|A0A1Q9D0I7_SYMMI" 47.368 76 34 2 1623 1414 100 175 8.86e-16 82.4
"7479" "TRINITY_DN6798_c1_g1_i1" "tr|A0A1Q9EHA1|A0A1Q9EHA1_SYMMI" 43.434 99 49 4 760 482 734 831 4.5e-12 71.6
"7480" "TRINITY_DN39681_c0_g1_i1" "tr|A0A1Q9DD52|A0A1Q9DD52_SYMMI" 27.763 371 254 8 467 1558 92 455 1.03e-38 156
"7481" "TRINITY_DN39656_c0_g1_i1" "tr|A0A1Q9EK91|A0A1Q9EK91_SYMMI" 36.235 494 249 13 129 1460 1100 1577 6.57e-72 256
"7482" "TRINITY_DN39656_c0_g1_i1" "tr|A0A1Q9EK91|A0A1Q9EK91_SYMMI" 45.902 122 57 5 3 350 775 893 2.24e-18 91.7
"7483" "TRINITY_DN39653_c0_g1_i1" "tr|A0A1Q9E0N2|A0A1Q9E0N2_SYMMI" 29.231 130 68 3 391 32 302 417 6.67e-11 60.5
"7484" "TRINITY_DN39687_c0_g1_i1" "tr|A0A1Q9DST4|A0A1Q9DST4_SYMMI" 32.37 173 102 4 527 27 495 658 1.04e-23 98.2
"7485" "TRINITY_DN39676_c1_g1_i1" "tr|A0A1Q9EIA6|A0A1Q9EIA6_SYMMI" 60 95 37 1 3 284 723 817 6.16e-31 115
"7486" "TRINITY_DN39691_c0_g2_i1" "tr|A0A1Q9DJ11|A0A1Q9DJ11_SYMMI" 40.741 108 64 0 326 3 1924 2031 6.02e-18 80.1
"7487" "TRINITY_DN39691_c0_g2_i1" "tr|A0A1Q9DJ11|A0A1Q9DJ11_SYMMI" 37.963 108 67 0 326 3 2802 2909 5.66e-16 74.3
"7488" "TRINITY_DN39691_c0_g2_i1" "tr|A0A1Q9DJ11|A0A1Q9DJ11_SYMMI" 34.848 132 86 0 401 6 1955 2086 1.05e-15 73.6
"7489" "TRINITY_DN39691_c0_g2_i1" "tr|A0A1Q9DJ11|A0A1Q9DJ11_SYMMI" 37.615 109 67 1 326 3 3044 3152 1.32e-14 70.5
"7490" "TRINITY_DN39691_c0_g2_i1" "tr|A0A1Q9DJ11|A0A1Q9DJ11_SYMMI" 38 100 62 0 326 27 1326 1425 2.4e-14 69.7
"7491" "TRINITY_DN39691_c0_g2_i1" "tr|A0A1Q9DJ11|A0A1Q9DJ11_SYMMI" 38 100 62 0 326 27 2988 3087 4.82e-14 68.9
"7492" "TRINITY_DN39691_c0_g2_i1" "tr|A0A1Q9DJ11|A0A1Q9DJ11_SYMMI" 37.037 108 68 0 326 3 2830 2937 6.02e-14 68.6
"7493" "TRINITY_DN39691_c0_g2_i1" "tr|A0A1Q9DJ11|A0A1Q9DJ11_SYMMI" 39.08 87 53 0 287 27 3086 3172 8.05e-14 68.2
"7494" "TRINITY_DN39691_c0_g2_i1" "tr|A0A1Q9DJ11|A0A1Q9DJ11_SYMMI" 39.394 99 60 0 326 30 3935 4033 1.13e-13 67.8
"7495" "TRINITY_DN39691_c0_g2_i1" "tr|A0A1Q9DJ11|A0A1Q9DJ11_SYMMI" 36.697 109 68 1 326 3 3016 3124 1.19e-13 67.8
"7496" "TRINITY_DN39691_c0_g2_i1" "tr|A0A1Q9DJ11|A0A1Q9DJ11_SYMMI" 37.037 108 68 0 326 3 3735 3842 1.57e-13 67.4
"7497" "TRINITY_DN39691_c0_g2_i1" "tr|A0A1Q9DJ11|A0A1Q9DJ11_SYMMI" 36.634 101 60 1 305 3 1309 1405 4.87e-13 65.9
"7498" "TRINITY_DN39691_c0_g2_i1" "tr|A0A1Q9DJ11|A0A1Q9DJ11_SYMMI" 36.842 95 60 0 287 3 3920 4014 2.92e-12 63.5
"7499" "TRINITY_DN39691_c0_g2_i1" "tr|A0A1Q9DJ11|A0A1Q9DJ11_SYMMI" 35.955 89 57 0 269 3 2793 2881 3.72e-12 63.5
"7500" "TRINITY_DN39691_c0_g2_i1" "tr|A0A1Q9DJ11|A0A1Q9DJ11_SYMMI" 34.783 115 73 1 341 3 3872 3986 6.03e-12 62.8
"7501" "TRINITY_DN39691_c0_g2_i1" "tr|A0A1Q9DJ11|A0A1Q9DJ11_SYMMI" 34.831 89 58 0 269 3 2979 3067 3.64e-11 60.5
"7502" "TRINITY_DN39692_c0_g1_i1" "tr|A0A1Q9CNB2|A0A1Q9CNB2_SYMMI" 37.662 231 100 9 36 608 105 331 1.84e-28 113
"7503" "TRINITY_DN23350_c0_g1_i1" "tr|A0A1Q9E9J5|A0A1Q9E9J5_SYMMI" 47.076 342 163 6 3 1016 3423 3750 6.26e-72 268
"7504" "TRINITY_DN23316_c0_g1_i1" "tr|A0A1Q9CQP2|A0A1Q9CQP2_SYMMI" 30.493 446 249 13 1945 716 114 534 4.82e-37 149
"7505" "TRINITY_DN23308_c0_g1_i2" "tr|A0A1Q9CF74|A0A1Q9CF74_SYMMI" 61.765 102 39 0 408 103 300 401 1.39e-33 124
"7506" "TRINITY_DN23377_c1_g4_i7" "tr|A0A1Q9CLJ3|A0A1Q9CLJ3_SYMMI" 42.029 552 295 9 4196 5815 183 721 1.98e-113 380
"7507" "TRINITY_DN23377_c1_g4_i1" "tr|A0A1Q9CLJ3|A0A1Q9CLJ3_SYMMI" 42.029 552 295 9 1258 2877 183 721 3.89e-114 380
"7508" "TRINITY_DN23377_c1_g4_i8" "tr|A0A1Q9CLJ3|A0A1Q9CLJ3_SYMMI" 42.029 552 295 9 4112 5731 183 721 2.36e-113 380
"7509" "TRINITY_DN23377_c1_g4_i5" "tr|A0A1Q9CLJ3|A0A1Q9CLJ3_SYMMI" 42.029 552 295 9 1195 2814 183 721 4.17e-114 380
"7510" "TRINITY_DN23377_c1_g4_i2" "tr|A0A1Q9CLJ3|A0A1Q9CLJ3_SYMMI" 42.029 552 295 9 4133 5752 183 721 2.37e-113 380
"7511" "TRINITY_DN23377_c0_g1_i2" "tr|A0A1Q9D109|A0A1Q9D109_SYMMI" 42.748 131 73 2 1821 1432 898 1027 5.27e-25 112
"7512" "TRINITY_DN23377_c0_g1_i1" "tr|A0A1Q9D109|A0A1Q9D109_SYMMI" 43.077 130 72 2 1671 1285 898 1026 1.79e-25 113
"7513" "TRINITY_DN23377_c1_g3_i3" "tr|A0A1Q9EJ87|A0A1Q9EJ87_SYMMI" 31.868 91 61 1 162 431 1392 1482 1.05e-12 72
"7514" "TRINITY_DN23382_c0_g1_i1" "tr|A0A1Q9CZY6|A0A1Q9CZY6_SYMMI" 33.523 176 101 2 21 503 466 640 3.29e-24 99.4
"7515" "TRINITY_DN23329_c0_g2_i1" "tr|A0A1Q9E0M2|A0A1Q9E0M2_SYMMI" 31.761 318 178 12 3 923 22 311 6.98e-32 129
"7516" "TRINITY_DN23329_c0_g2_i2" "tr|A0A1Q9E0M2|A0A1Q9E0M2_SYMMI" 31.761 318 178 12 3 923 22 311 7.44e-32 129
"7517" "TRINITY_DN23360_c0_g1_i1" "tr|A0A1Q9D3D1|A0A1Q9D3D1_SYMMI" 61.053 95 36 1 62 343 116 210 2.3e-30 115
"7518" "TRINITY_DN23369_c0_g2_i1" "tr|A0A1Q9C0B5|A0A1Q9C0B5_SYMMI" 36.765 204 125 3 1 609 405 605 1.27e-34 132
"7519" "TRINITY_DN23325_c0_g1_i2" "tr|A0A1Q9BXG7|A0A1Q9BXG7_SYMMI" 40 75 43 2 220 2 391 465 5.31e-12 60.1
"7520" "TRINITY_DN23321_c0_g1_i2" "tr|A0A1Q9CQX2|A0A1Q9CQX2_SYMMI" 52.381 294 140 0 141 1022 362 655 8.87e-99 322
"7521" "TRINITY_DN23305_c0_g2_i1" "tr|A0A1Q9C3S0|A0A1Q9C3S0_SYMMI" 60.233 430 166 5 92 1375 1074 1500 1.33e-146 460
"7522" "TRINITY_DN23305_c0_g2_i2" "tr|A0A1Q9C3S0|A0A1Q9C3S0_SYMMI" 60.233 430 166 5 92 1375 1074 1500 1.46e-146 460
"7523" "TRINITY_DN23359_c0_g1_i1" "tr|A0A1Q9C5K1|A0A1Q9C5K1_SYMMI" 53.125 64 30 0 138 329 501 564 1.46e-16 76.3
"7524" "TRINITY_DN23387_c0_g1_i2" "tr|A0A1Q9CJB5|A0A1Q9CJB5_SYMMI" 28.295 258 141 10 1180 455 3006 3235 8.52e-19 92.8
"7525" "TRINITY_DN23387_c0_g1_i1" "tr|A0A1Q9CJB5|A0A1Q9CJB5_SYMMI" 28.295 258 141 10 1180 455 3006 3235 1.4e-18 92
"7526" "TRINITY_DN23385_c0_g1_i1" "tr|A0A1Q9CH02|A0A1Q9CH02_SYMMI" 31.72 186 119 4 210 758 495 675 1.69e-24 103
"7527" "TRINITY_DN23328_c0_g1_i3" "tr|A0A1Q9C0L8|A0A1Q9C0L8_SYMMI" 32.483 431 233 13 905 2119 1 399 2.48e-55 209
"7528" "TRINITY_DN23328_c0_g1_i1" "tr|A0A1Q9C0L8|A0A1Q9C0L8_SYMMI" 32.483 431 233 13 934 2148 1 399 2.78e-55 209
"7529" "TRINITY_DN23307_c0_g1_i3" "tr|A0A1Q9DFQ0|A0A1Q9DFQ0_SYMMI" 41.995 812 399 18 5698 3377 183 960 2.61e-165 536
"7530" "TRINITY_DN23307_c0_g1_i13" "tr|A0A1Q9DFQ0|A0A1Q9DFQ0_SYMMI" 41.995 812 399 18 5706 3385 183 960 2.71e-165 536
"7531" "TRINITY_DN23307_c0_g1_i11" "tr|A0A1Q9DFQ0|A0A1Q9DFQ0_SYMMI" 41.995 812 399 18 5657 3336 183 960 2.16e-165 536
"7532" "TRINITY_DN23307_c0_g1_i5" "tr|A0A1Q9DFQ0|A0A1Q9DFQ0_SYMMI" 41.995 812 399 18 5454 3133 183 960 8.42e-166 536
"7533" "TRINITY_DN23307_c0_g1_i8" "tr|A0A1Q9DFQ0|A0A1Q9DFQ0_SYMMI" 41.995 812 399 18 5611 3290 183 960 1.76e-165 536
"7534" "TRINITY_DN23376_c0_g1_i2" "tr|Q8S4R1|Q8S4R1_CRYCO" 57.078 438 179 2 1735 422 1 429 0 526
"7535" "TRINITY_DN23376_c0_g1_i1" "tr|Q8S4R1|Q8S4R1_CRYCO" 57.078 438 179 2 1799 486 1 429 0 526
"7536" "TRINITY_DN23312_c0_g1_i2" "tr|A0A1Q9D045|A0A1Q9D045_SYMMI" 37.755 294 161 6 2 838 1386 1672 1.12e-47 182
"7537" "TRINITY_DN40529_c0_g1_i1" "tr|A0A1Q9DTQ9|A0A1Q9DTQ9_SYMMI" 29.915 117 68 3 9 344 173 280 5.89e-12 65.1
"7538" "TRINITY_DN40568_c0_g1_i1" "tr|A0A1Q9CAW3|A0A1Q9CAW3_SYMMI" 41.509 106 59 2 452 144 1 106 4.7e-16 76.3
"7539" "TRINITY_DN40535_c0_g1_i1" "tr|A0A1Q9DH03|A0A1Q9DH03_SYMMI" 34.234 111 58 2 759 433 127 224 2.26e-11 64.3
"7540" "TRINITY_DN40535_c0_g1_i3" "tr|A0A1Q9DH03|A0A1Q9DH03_SYMMI" 34.234 111 58 2 776 450 127 224 2.36e-11 64.3
"7541" "TRINITY_DN40564_c0_g1_i1" "tr|A0A1Q9EPQ9|A0A1Q9EPQ9_SYMMI" 45.988 324 148 6 412 1368 6 307 6.96e-76 243
"7542" "TRINITY_DN56959_c0_g1_i1" "tr|A0A1Q9E7B9|A0A1Q9E7B9_SYMMI" 43.077 65 36 1 23 217 458 521 1.29e-12 62
"7543" "TRINITY_DN56985_c0_g1_i1" "tr|A0A1Q9F6Q8|A0A1Q9F6Q8_SYMMI" 36.929 241 138 5 219 914 17 252 2.51e-37 137
"7544" "TRINITY_DN56982_c0_g1_i1" "tr|A0A1Q9CXE9|A0A1Q9CXE9_SYMMI" 41.975 81 42 2 2 241 471 547 5.84e-11 59.3
"7545" "TRINITY_DN56919_c0_g1_i1" "tr|A0A1Q9F584|A0A1Q9F584_SYMMI" 32.489 237 141 4 150 824 2094 2323 2.28e-25 106
"7546" "TRINITY_DN56931_c0_g1_i1" "tr|A0A1Q9EIG6|A0A1Q9EIG6_SYMMI" 28.571 126 87 2 414 40 35 158 1.91e-11 61.2
"7547" "TRINITY_DN56951_c0_g1_i1" "tr|A0A1Q9CXX2|A0A1Q9CXX2_SYMMI" 52.903 155 67 2 61 510 42 195 4.92e-50 162
"7548" "TRINITY_DN56984_c0_g1_i1" "tr|A0A1Q9DPM2|A0A1Q9DPM2_SYMMI" 67.059 85 27 1 255 4 757 841 7.4e-24 94.7
"7549" "TRINITY_DN14261_c0_g1_i1" "tr|A0A1Q9D7K8|A0A1Q9D7K8_SYMMI" 24.227 388 282 7 400 1530 1493 1879 1.77e-19 96.3
"7550" "TRINITY_DN14223_c0_g1_i1" "tr|A0A1Q9C3L0|A0A1Q9C3L0_SYMMI" 31.651 218 122 8 48 695 52 244 1.62e-18 86.3
"7551" "TRINITY_DN14278_c0_g2_i1" "tr|A0A1Q9D8C6|A0A1Q9D8C6_SYMMI" 37.624 101 62 1 2 304 285 384 3.65e-16 79
"7552" "TRINITY_DN14252_c0_g1_i1" "tr|A0A1Q9F436|A0A1Q9F436_SYMMI" 30.421 309 198 6 664 1548 475 780 2.36e-31 133
"7553" "TRINITY_DN14247_c0_g1_i2" "tr|A0A1Q9EB48|A0A1Q9EB48_SYMMI" 26.263 198 130 5 1725 2285 451 643 9.77e-14 77.4
"7554" "TRINITY_DN14247_c0_g1_i1" "tr|A0A1Q9EB48|A0A1Q9EB48_SYMMI" 26.263 198 130 5 1725 2285 451 643 9.84e-14 77.4
"7555" "TRINITY_DN14285_c2_g1_i3" "tr|E8Z6H6|E8Z6H6_PFIPI" 32.624 141 91 2 459 46 47 186 1.97e-17 80.5
"7556" "TRINITY_DN14285_c1_g1_i4" "tr|A0A1Q9F6R7|A0A1Q9F6R7_SYMMI" 53.947 152 69 1 1825 1373 7 158 9.47e-56 187
"7557" "TRINITY_DN14285_c1_g1_i2" "tr|A0A1Q9F6R7|A0A1Q9F6R7_SYMMI" 53.947 152 69 1 1919 1467 7 158 1.5e-55 187
"7558" "TRINITY_DN14254_c1_g1_i2" "tr|A0A1Q9CZ03|A0A1Q9CZ03_SYMMI" 40.722 194 110 2 2251 1685 38 231 6.78e-37 145
"7559" "TRINITY_DN14254_c0_g1_i4" "tr|A0A1Q9CFE5|A0A1Q9CFE5_SYMMI" 37.455 275 164 3 2637 1837 488 762 9.58e-42 166
"7560" "TRINITY_DN14254_c0_g1_i10" "tr|A0A1Q9DX20|A0A1Q9DX20_SYMMI" 34.071 226 125 4 3249 2602 15 226 4.04e-35 136
"7561" "TRINITY_DN14254_c0_g1_i5" "tr|A0A1Q9CFE5|A0A1Q9CFE5_SYMMI" 37.455 275 164 3 2637 1837 488 762 1.2e-41 166
"7562" "TRINITY_DN14254_c0_g1_i2" "tr|A0A1Q9CFE5|A0A1Q9CFE5_SYMMI" 37.455 275 164 3 3381 2581 488 762 1.56e-41 166
"7563" "TRINITY_DN14234_c0_g1_i2" "tr|A0A1Q9E4R0|A0A1Q9E4R0_SYMMI" 32.402 537 266 17 207 1763 321 778 4.47e-67 239
"7564" "TRINITY_DN14234_c0_g1_i1" "tr|A0A1Q9E4R0|A0A1Q9E4R0_SYMMI" 32.402 537 266 17 207 1763 321 778 3.88e-67 239
"7565" "TRINITY_DN14253_c0_g1_i1" "tr|A0A1Q9E525|A0A1Q9E525_SYMMI" 39.798 397 220 5 277 1437 883 1270 7.82e-65 241
"7566" "TRINITY_DN14253_c0_g1_i3" "tr|A0A1Q9E525|A0A1Q9E525_SYMMI" 39.798 397 220 5 277 1437 883 1270 1.41e-64 241
"7567" "TRINITY_DN14253_c0_g1_i2" "tr|A0A1Q9E525|A0A1Q9E525_SYMMI" 39.798 397 220 5 277 1437 883 1270 5.71e-66 241
"7568" "TRINITY_DN14255_c0_g3_i1" "tr|A0A0X8CYJ5|A0A0X8CYJ5_AMPCA" 38.728 173 98 4 924 427 38 209 2.56e-29 114
"7569" "TRINITY_DN14266_c0_g3_i1" "tr|A0A1Q9CAT5|A0A1Q9CAT5_SYMMI" 28.146 302 184 10 968 102 346 627 1.46e-17 84.7
"7570" "TRINITY_DN14279_c0_g1_i3" "tr|A0A1Q9CAA6|A0A1Q9CAA6_SYMMI" 27.586 174 107 4 97 579 484 651 7.83e-13 72.4
"7571" "TRINITY_DN14279_c0_g1_i5" "tr|A0A1Q9CSE1|A0A1Q9CSE1_SYMMI" 30.565 301 169 10 147 1007 62 336 4.04e-23 106
"7572" "TRINITY_DN14279_c0_g1_i2" "tr|A0A1Q9CAA6|A0A1Q9CAA6_SYMMI" 28.07 171 104 4 9 482 487 651 8.15e-13 72
"7573" "TRINITY_DN14279_c0_g1_i1" "tr|A0A1Q9CSE1|A0A1Q9CSE1_SYMMI" 30.565 301 169 10 147 1007 62 336 3.33e-23 106
"7574" "TRINITY_DN14207_c0_g1_i4" "tr|C7DLP3|C7DLP3_9DINO" 50.427 117 58 0 46 396 8 124 6.7e-36 123
"7575" "TRINITY_DN14207_c0_g1_i1" "tr|C7DLP3|C7DLP3_9DINO" 47.581 124 65 0 33 404 1 124 1.29e-35 122
"7576" "TRINITY_DN14207_c0_g1_i3" "tr|C7DLP3|C7DLP3_9DINO" 47.581 124 65 0 33 404 1 124 5.99e-35 122
"7577" "TRINITY_DN14207_c0_g1_i5" "tr|C7DLP3|C7DLP3_9DINO" 49.138 116 59 0 46 393 8 123 9.33e-35 121
"7578" "TRINITY_DN14207_c0_g1_i2" "tr|C7DLP3|C7DLP3_9DINO" 47.581 124 65 0 33 404 1 124 2.23e-35 122
"7579" "TRINITY_DN14224_c0_g1_i3" "tr|A0A1Q9D762|A0A1Q9D762_SYMMI" 23.699 173 121 4 192 704 277 440 4.31e-14 76.6
"7580" "TRINITY_DN14213_c0_g1_i1" "tr|A0A1Q9EUW0|A0A1Q9EUW0_SYMMI" 51.071 280 134 3 1377 541 3 280 1.57e-78 248
"7581" "TRINITY_DN14213_c0_g1_i2" "tr|A0A1Q9EUW0|A0A1Q9EUW0_SYMMI" 51.071 280 134 3 1343 507 3 280 1.21e-78 248
"7582" "TRINITY_DN14213_c0_g1_i5" "tr|A0A1Q9EUW0|A0A1Q9EUW0_SYMMI" 51.071 280 134 3 1368 532 3 280 1.06e-78 249
"7583" "TRINITY_DN14213_c0_g1_i3" "tr|A0A1Q9EUW0|A0A1Q9EUW0_SYMMI" 51.071 280 134 3 1417 581 3 280 1.78e-78 249
"7584" "TRINITY_DN14220_c0_g1_i1" "tr|E8Z765|E8Z765_KARVE" 55.851 188 82 1 1325 762 40 226 7.55e-63 209
"7585" "TRINITY_DN14215_c0_g1_i2" "tr|A0A1Q9DWB4|A0A1Q9DWB4_SYMMI" 41.111 90 48 2 382 645 8 94 3.7e-14 69.7
"7586" "TRINITY_DN14215_c0_g1_i3" "tr|A0A1Q9DWB4|A0A1Q9DWB4_SYMMI" 41.111 90 48 2 382 645 8 94 3.25e-14 69.7
"7587" "TRINITY_DN14215_c0_g1_i1" "tr|A0A1Q9DWB4|A0A1Q9DWB4_SYMMI" 41.111 90 48 2 382 645 8 94 3.47e-14 69.7
"7588" "TRINITY_DN14267_c0_g1_i2" "tr|B4ZFN1|B4ZFN1_AMPCA" 35.821 402 218 9 36 1232 9 373 1.61e-79 256
"7589" "TRINITY_DN14267_c0_g1_i1" "tr|B4ZFN1|B4ZFN1_AMPCA" 35.821 402 218 9 36 1232 9 373 2.08e-80 256
"7590" "TRINITY_DN14231_c0_g1_i1" "tr|F2WQ38|F2WQ38_KARVE" 39.237 367 207 5 1362 283 47 404 2.37e-79 256
"7591" "TRINITY_DN14299_c0_g1_i5" "tr|A0A1Q9D9M4|A0A1Q9D9M4_SYMMI" 59.406 202 75 3 976 1569 304 502 2.48e-70 256
"7592" "TRINITY_DN14299_c0_g1_i2" "tr|A0A1Q9D9M4|A0A1Q9D9M4_SYMMI" 59.406 202 75 3 976 1569 304 502 1e-70 256
"7593" "TRINITY_DN14299_c0_g1_i6" "tr|A0A1Q9D9M4|A0A1Q9D9M4_SYMMI" 59.406 202 75 3 976 1569 304 502 2.88e-71 256
"7594" "TRINITY_DN14299_c0_g2_i10" "tr|A0A1Q9F257|A0A1Q9F257_SYMMI" 76.852 432 94 4 517 1809 3 429 0 699
"7595" "TRINITY_DN14299_c0_g2_i9" "tr|A0A1Q9F257|A0A1Q9F257_SYMMI" 76.798 431 96 3 518 1810 3 429 0 699
"7596" "TRINITY_DN14299_c0_g2_i4" "tr|A0A1Q9F257|A0A1Q9F257_SYMMI" 76.798 431 96 3 518 1810 3 429 0 699
"7597" "TRINITY_DN14299_c0_g2_i8" "tr|A0A1Q9F257|A0A1Q9F257_SYMMI" 76.798 431 96 3 518 1810 3 429 0 699
"7598" "TRINITY_DN14299_c0_g2_i7" "tr|A0A1Q9F257|A0A1Q9F257_SYMMI" 76.852 432 94 4 517 1809 3 429 0 699
"7599" "TRINITY_DN14299_c0_g2_i6" "tr|A0A1Q9F257|A0A1Q9F257_SYMMI" 76.852 432 94 4 517 1809 3 429 0 699
"7600" "TRINITY_DN14299_c0_g2_i1" "tr|A0A1Q9F257|A0A1Q9F257_SYMMI" 76.852 432 94 4 517 1809 3 429 0 699
"7601" "TRINITY_DN14299_c0_g2_i2" "tr|A0A1Q9F257|A0A1Q9F257_SYMMI" 76.852 432 94 4 517 1809 3 429 0 699
"7602" "TRINITY_DN14222_c0_g2_i1" "tr|A0A1Q9F3Z1|A0A1Q9F3Z1_SYMMI" 39.706 204 98 5 2961 2377 149 336 5.84e-38 155
"7603" "TRINITY_DN14222_c0_g2_i1" "tr|A0A1Q9F3Z1|A0A1Q9F3Z1_SYMMI" 38.148 270 125 7 2178 1444 550 802 9.38e-33 139
"7604" "TRINITY_DN14244_c0_g1_i4" "tr|A0A1Q9D5X4|A0A1Q9D5X4_SYMMI" 26.621 293 170 7 2941 2066 853 1101 2.15e-25 115
"7605" "TRINITY_DN14237_c0_g1_i1" "tr|A0A1Q9CV17|A0A1Q9CV17_SYMMI" 29.583 240 169 0 390 1109 377 616 2.9e-21 100
"7606" "TRINITY_DN14237_c0_g1_i1" "tr|A0A1Q9CV17|A0A1Q9CV17_SYMMI" 27.09 299 176 2 339 1109 276 574 2.28e-19 94
"7607" "TRINITY_DN14237_c0_g1_i1" "tr|A0A1Q9CV17|A0A1Q9CV17_SYMMI" 25.455 275 205 0 300 1124 389 663 5.99e-15 80.1
"7608" "TRINITY_DN14237_c0_g1_i2" "tr|A0A1Q9CV17|A0A1Q9CV17_SYMMI" 29.583 240 169 0 390 1109 377 616 2.86e-21 100
"7609" "TRINITY_DN14237_c0_g1_i2" "tr|A0A1Q9CV17|A0A1Q9CV17_SYMMI" 27.09 299 176 2 339 1109 276 574 2.25e-19 94
"7610" "TRINITY_DN14237_c0_g1_i2" "tr|A0A1Q9CV17|A0A1Q9CV17_SYMMI" 25.455 275 205 0 300 1124 389 663 5.93e-15 80.1
"7611" "TRINITY_DN14218_c0_g1_i2" "tr|A0A1Q9CKG8|A0A1Q9CKG8_SYMMI" 35.766 548 171 23 326 1735 18 462 4.41e-64 225
"7612" "TRINITY_DN14218_c0_g1_i1" "tr|A0A1Q9CKG8|A0A1Q9CKG8_SYMMI" 35.766 548 171 23 326 1735 18 462 4.64e-64 225
"7613" "TRINITY_DN14251_c0_g2_i2" "tr|A0A1Q9CL45|A0A1Q9CL45_SYMMI" 70.28 286 84 1 2 859 95 379 6.13e-150 440
"7614" "TRINITY_DN14251_c0_g2_i1" "tr|A0A1Q9CL45|A0A1Q9CL45_SYMMI" 70.28 286 84 1 2 859 95 379 4.73e-150 440
"7615" "TRINITY_DN14227_c0_g1_i1" "tr|A0A1Q9DY15|A0A1Q9DY15_SYMMI" 27.97 404 240 11 994 2061 296 696 7.06e-22 103
