target_id,up_ID,evalue
TRINITY_DN30057_c0_g1_i1,sp|Q641I1|F135B_XENLA,4.19E-25
TRINITY_DN45429_c0_g1_i1,sp|Q6F754|GBTR_ACIAD,3.19E-35
TRINITY_DN13359_c0_g1_i4,sp|O77834|PRDX6_BOVIN,3.33E-71
TRINITY_DN13580_c0_g1_i6,sp|Q6RY07|CHIA_RAT,2.61E-62
TRINITY_DN24721_c0_g2_i1,sp|B9PGU1|ASNA_TOXGV,1.93E-33
TRINITY_DN4161_c0_g1_i5,sp|Q54VU7|MAP12_DICDI,1.34E-64
TRINITY_DN45978_c0_g1_i1,sp|Q08853|ATC_PLAFK,1.46E-78
TRINITY_DN6369_c0_g1_i7,sp|P52427|PSA4_SPIOL,1.15E-104
TRINITY_DN2962_c0_g1_i17,sp|P56286|IF2A_SCHPO,2.81E-81
TRINITY_DN26637_c0_g1_i1,sp|Q9VCA8|ANKHM_DROME,3.75E-24
TRINITY_DN35661_c0_g1_i1,sp|Q01576|ACSA_PHYB8,2.13E-56
TRINITY_DN36284_c0_g1_i2,sp|Q5EAD5|PGTB1_BOVIN,1.47E-46
TRINITY_DN20826_c0_g1_i2,sp|Q39069|CCB13_ARATH,1.08E-24
TRINITY_DN56771_c0_g1_i1,sp|Q5U4C9|DYRK2_MOUSE,5.19E-81
TRINITY_DN3141_c0_g2_i1,sp|Q06827|CATR_SCHDU,2.21E-59
TRINITY_DN9462_c0_g1_i2,sp|P73789|PPI2_SYNY3,6.36E-58
TRINITY_DN56829_c0_g1_i1,sp|A2YV85|RH29_ORYSI,1.09E-23
TRINITY_DN26856_c0_g1_i1,sp|Q8L7M4|SDN5_ARATH,1.43E-26
TRINITY_DN60939_c0_g1_i1,sp|P11498|PYC_HUMAN,2.66E-49
TRINITY_DN5240_c0_g1_i10,sp|Q9XF62|DIP13_CHLRE,1.35E-39
TRINITY_DN45079_c0_g1_i1,sp|Q8CGR7|UPP2_MOUSE,4.04E-48
TRINITY_DN3959_c0_g1_i2,sp|Q07412|TPIS_PLAFA,1.21E-75
TRINITY_DN25588_c0_g6_i1,sp|Q0UP11|GET3_PHANO,5.66E-24
TRINITY_DN11724_c0_g3_i1,sp|Q2QYW2|CLH2_ORYSJ,2.68E-67
TRINITY_DN26480_c0_g2_i1,sp|O00295|TULP2_HUMAN,8.40E-39
TRINITY_DN31863_c0_g3_i2,sp|F4JAA5|SKI2_ARATH,2.47E-22
TRINITY_DN10080_c0_g1_i1,sp|Q6L6S1|EGCSE_HYDVU,1.11E-50
TRINITY_DN9671_c0_g1_i2,sp|Q9Z1N4|BPNT1_RAT,1.44E-32
TRINITY_DN13818_c0_g1_i1,sp|Q9M1Z5|MPK10_ARATH,9.07E-23
TRINITY_DN36807_c0_g1_i1,sp|P96111|PYRB_THEMA,1.90E-23
TRINITY_DN22406_c0_g1_i1,sp|A7MBI7|COMT_BOVIN,1.79E-23
TRINITY_DN29057_c0_g1_i1,sp|P21569|CYPH_MAIZE,3.96E-63
TRINITY_DN59573_c0_g1_i1,sp|P9WQE6|PPSA_MYCTO,7.41E-35
TRINITY_DN9117_c0_g1_i11,sp|Q5FWQ0|ADXL_XENLA,1.08E-33
TRINITY_DN16932_c0_g1_i1,sp|P17210|KINH_DROME,2.66E-23
TRINITY_DN20860_c0_g1_i1,sp|Q9SIC9|PP178_ARATH,6.82E-23
TRINITY_DN7741_c2_g1_i9,sp|A0CDD4|CFA20_PARTE,8.38E-120
TRINITY_DN52674_c0_g1_i1,sp|P51139|MSK3_MEDSA,1.40E-111
TRINITY_DN17275_c0_g1_i1,sp|Q22XZ3|ATAT_TETTS,1.07E-42
TRINITY_DN15101_c0_g1_i1,sp|Q11076|UBC17_CAEEL,7.60E-28
TRINITY_DN10312_c1_g4_i1,sp|Q3UE37|UBE2Z_MOUSE,1.74E-32
TRINITY_DN28995_c0_g1_i1,sp|Q15751|HERC1_HUMAN,1.84E-24
TRINITY_DN3232_c1_g2_i5,sp|P27996|H4_SOLST,9.06E-44
TRINITY_DN25298_c0_g1_i1,sp|E2JA31|DDAF_ENTAG,4.24E-26
TRINITY_DN24107_c0_g1_i1,sp|Q9SXC9|MNS5_ARATH,8.65E-52
TRINITY_DN17091_c0_g1_i2,sp|Q9ZUA2|PP141_ARATH,8.51E-22
TRINITY_DN22170_c0_g1_i4,sp|C5D6U5|MENE_GEOSW,1.37E-71
TRINITY_DN4578_c0_g1_i4,sp|F4K1R2|HINT3_ARATH,6.78E-26
TRINITY_DN23351_c0_g1_i6,sp|O88554|PARP2_MOUSE,1.85E-36
TRINITY_DN3711_c0_g1_i1,sp|Q8TCB7|METL6_HUMAN,4.93E-36
TRINITY_DN16370_c0_g3_i1,sp|Q6Z8B9|P2C12_ORYSJ,3.60E-28
TRINITY_DN4066_c0_g1_i5,sp|P31353|PMM_CANAL,1.72E-108
TRINITY_DN4233_c0_g1_i4,sp|O35648|CETN3_MOUSE,2.13E-61
TRINITY_DN37304_c0_g1_i1,sp|Q9VB25|KL98A_DROME,4.41E-28
TRINITY_DN9997_c0_g1_i1,sp|O14036|SMD2_SCHPO,1.15E-37
TRINITY_DN23519_c0_g2_i1,sp|Q96RW7|HMCN1_HUMAN,1.58E-25
TRINITY_DN24442_c0_g4_i1,sp|P33527|MRP1_HUMAN,7.43E-40
TRINITY_DN23222_c0_g3_i1,sp|Q8W0Z9|CCR4A_ARATH,5.02E-42
TRINITY_DN30041_c0_g2_i1,sp|P34624|CCNY_CAEEL,1.80E-25
TRINITY_DN38931_c0_g1_i3,sp|Q08DF7|PDE12_BOVIN,7.97E-28
TRINITY_DN11534_c0_g2_i1,sp|Q9D180|CFA57_MOUSE,1.42E-87
TRINITY_DN8872_c0_g1_i6,sp|P32604|F26_YEAST,1.01E-104
TRINITY_DN10979_c0_g1_i3,sp|Q8IYG6|LRC56_HUMAN,3.62E-30
TRINITY_DN10832_c0_g1_i1,sp|Q96IV6|FXDC2_HUMAN,1.09E-62
TRINITY_DN10569_c0_g1_i4,sp|Q9VCA5|SYFB_DROME,0
TRINITY_DN4776_c0_g1_i4,sp|Q69ZP3|PNKD_MOUSE,2.88E-30
TRINITY_DN6857_c0_g1_i1,sp|Q54LV0|SMC4_DICDI,5.45E-40
TRINITY_DN49084_c0_g1_i1,sp|P0C8M8|CCR1_MAIZE,5.32E-71
TRINITY_DN10433_c0_g1_i2,sp|P41410|RAD54_SCHPO,3.57E-70
TRINITY_DN18644_c0_g2_i1,sp|Q9P2K1|C2D2A_HUMAN,1.95E-26
TRINITY_DN13786_c0_g3_i1,sp|Q8Q0U0|Y045_METMA,2.67E-37
TRINITY_DN6393_c0_g1_i11,sp|A0LJ41|DNAJ_SYNFM,3.57E-59
TRINITY_DN29872_c0_g2_i1,sp|Q5H879|COMT_HORSE,2.17E-35
TRINITY_DN10908_c0_g2_i2,sp|A2A259|PK2L1_MOUSE,2.00E-21
TRINITY_DN644_c0_g1_i25,sp|Q42404|RU17_ARATH,2.55E-41
TRINITY_DN24784_c0_g1_i3,sp|Q3EBF7|SLD2_ARATH,2.23E-96
TRINITY_DN9268_c0_g1_i10,sp|Q38951|2AAG_ARATH,8.15E-109
TRINITY_DN3281_c0_g1_i1,sp|Q5RC74|DERL2_PONAB,7.51E-40
TRINITY_DN4342_c0_g1_i3,sp|Q9SVV9|AML3_ARATH,2.83E-25
TRINITY_DN11810_c0_g4_i2,sp|Q96RW7|HMCN1_HUMAN,4.17E-37
TRINITY_DN2597_c0_g1_i6,sp|Q9UKK9|NUDT5_HUMAN,4.46E-39
TRINITY_DN24721_c0_g2_i2,sp|B9PGU1|ASNA_TOXGV,7.09E-33
TRINITY_DN3620_c0_g1_i5,sp|Q8TC12|RDH11_HUMAN,9.42E-41
TRINITY_DN52668_c0_g1_i1,sp|Q87L95|METH_VIBPA,2.18E-45
TRINITY_DN39483_c0_g2_i1,sp|Q26626|KIFA3_STRPU,8.74E-35
TRINITY_DN5341_c0_g1_i9,sp|Q8VYP5|ZDH14_ARATH,1.18E-27
TRINITY_DN59569_c0_g1_i1,sp|P92958|KIN11_ARATH,5.91E-27
TRINITY_DN16942_c0_g1_i9,sp|P34120|PSA7_DICDI,6.09E-102
TRINITY_DN15568_c0_g1_i1,sp|P41234|ABCA2_MOUSE,6.44E-61
TRINITY_DN14696_c0_g5_i1,sp|Q6P3R1|KIF22_XENTR,3.17E-22
TRINITY_DN56311_c0_g1_i1,sp|P84082|ARF2_RAT,2.49E-23
TRINITY_DN263_c0_g1_i8,sp|Q9XHS0|RS12_HORVU,1.99E-34
TRINITY_DN18891_c0_g1_i1,sp|Q9SKZ5|FBT1_ARATH,7.26E-39
TRINITY_DN14702_c0_g2_i3,sp|Q9SRH6|HIR3_ARATH,1.91E-97
TRINITY_DN12318_c0_g1_i1,sp|Q4R4V2|PPM1G_MACFA,3.37E-31
TRINITY_DN24783_c0_g1_i8,sp|P51954|NEK1_MOUSE,1.83E-31
TRINITY_DN23695_c0_g1_i2,sp|O48671|RER1B_ARATH,4.18E-39
TRINITY_DN2303_c0_g1_i12,sp|Q7ZWD4|UAP1L_DANRE,1.10E-101
TRINITY_DN23920_c0_g2_i2,sp|Q8IY21|DDX60_HUMAN,1.50E-57
TRINITY_DN45330_c0_g1_i1,sp|Q6S001|KIF11_DICDI,2.21E-28
TRINITY_DN32272_c0_g1_i1,sp|Q9SIC9|PP178_ARATH,2.33E-26
TRINITY_DN8493_c0_g1_i1,sp|O13870|NOT3_SCHPO,1.27E-36
TRINITY_DN12720_c0_g2_i1,sp|P20303|GTR1_PIG,5.96E-22
TRINITY_DN9980_c0_g2_i1,sp|O15442|MPPD1_HUMAN,6.31E-54
TRINITY_DN29616_c0_g1_i1,sp|P82266|KN5C_ARATH,1.06E-52
TRINITY_DN57074_c0_g1_i1,sp|Q9SAI2|CAF1F_ARATH,1.09E-45
TRINITY_DN2634_c0_g2_i9,sp|Q9FXA2|PABP8_ARATH,1.65E-29
TRINITY_DN22015_c0_g1_i1,sp|Q03683|BIP3_TOBAC,1.75E-38
TRINITY_DN10970_c0_g1_i5,sp|P45432|CSN1_ARATH,7.17E-60
TRINITY_DN8156_c0_g1_i4,sp|Q9SXC8|UFC1_ARATH,1.69E-76
TRINITY_DN5238_c0_g1_i6,sp|Q01484|ANK2_HUMAN,1.30E-25
TRINITY_DN5293_c0_g1_i6,sp|Q9SFU0|SC24A_ARATH,1.51E-102
TRINITY_DN12495_c0_g1_i1,sp|Q9SLA1|P2C22_ARATH,8.44E-27
TRINITY_DN13985_c0_g1_i1,sp|Q13099|IFT88_HUMAN,1.60E-83
TRINITY_DN2676_c0_g1_i1,sp|P07857|NLTP_BOVIN,1.41E-21
TRINITY_DN10502_c0_g1_i4,sp|P52652|TFS2_CAEEL,2.43E-35
TRINITY_DN2451_c1_g1_i5,sp|P31209|PABP_SCHPO,1.24E-129
TRINITY_DN7271_c0_g1_i8,sp|O14717|TRDMT_HUMAN,1.22E-41
TRINITY_DN20254_c0_g1_i1,sp|O15439|MRP4_HUMAN,2.73E-33
TRINITY_DN2641_c0_g2_i3,sp|Q5NVK5|PGTA_PONAB,3.59E-38
TRINITY_DN11755_c0_g1_i4,sp|Q9LPC7|CP18A_ARATH,6.10E-56
TRINITY_DN37545_c1_g1_i1,sp|Q28677|S12A4_RABIT,3.95E-21
TRINITY_DN9692_c0_g1_i7,sp|Q54H55|Y8969_DICDI,6.50E-35
TRINITY_DN43940_c0_g1_i1,sp|P19813|TREA_RABIT,1.88E-25
TRINITY_DN17677_c0_g1_i1,sp|Q9FKB0|LSM5_ARATH,2.28E-34
TRINITY_DN5471_c0_g1_i1,sp|Q9VQQ9|EXOC2_DROME,2.84E-126
TRINITY_DN2030_c0_g1_i2,sp|Q9QY93|DCTP1_MOUSE,1.04E-36
TRINITY_DN11523_c0_g1_i15,sp|Q94A97|UBC35_ARATH,3.32E-70
TRINITY_DN32055_c0_g1_i1,sp|Q86ZN7|KAPR_HYPAT,3.52E-27
TRINITY_DN58937_c0_g1_i1,sp|Q7TSV4|PGM2_MOUSE,3.65E-55
TRINITY_DN19877_c0_g1_i1,sp|Q38997|KIN10_ARATH,2.39E-34
TRINITY_DN28254_c0_g3_i1,sp|Q8KZT5|GBH_ARTS8,7.43E-54
TRINITY_DN10899_c0_g1_i4,sp|Q26630|IDLC_STRPU,1.36E-72
TRINITY_DN1818_c0_g1_i13,sp|Q50KB1|SEP2_EMIHU,2.17E-30
TRINITY_DN10843_c0_g1_i2,sp|O23254|GLYC4_ARATH,0
TRINITY_DN11005_c0_g1_i4,sp|P12623|NIFS_NOSS1,4.17E-80
TRINITY_DN16687_c0_g1_i1,sp|Q54VV7|Y0111_DICDI,3.80E-43
TRINITY_DN30320_c0_g1_i4,sp|Q8K339|KIN17_MOUSE,6.16E-92
TRINITY_DN7733_c0_g2_i1,sp|Q9KVD5|PYRE_VIBCH,5.43E-77
TRINITY_DN7576_c0_g1_i2,sp|Q54NM9|STT3_DICDI,0
TRINITY_DN20996_c1_g1_i2,sp|Q9BSR8|YIPF4_HUMAN,8.46E-22
TRINITY_DN6988_c0_g1_i3,sp|Q9JHE5|S38A2_RAT,2.63E-27
TRINITY_DN36987_c0_g1_i1,sp|Q8IZJ3|CPMD8_HUMAN,4.09E-38
TRINITY_DN6553_c0_g1_i2,sp|Q9ZQW8|U2AFA_ORYSJ,2.52E-53
TRINITY_DN45612_c0_g1_i1,sp|P51817|PRKX_HUMAN,1.63E-73
TRINITY_DN36923_c0_g1_i2,sp|O64629|AUR3_ARATH,3.11E-79
TRINITY_DN6878_c0_g1_i2,sp|Q9ZUP4|CKL5_ARATH,1.25E-47
TRINITY_DN34389_c0_g2_i1,sp|Q10289|FAS2_SCHPO,3.62E-50
TRINITY_DN10369_c0_g1_i3,sp|Q9W6S5|ALLC_XENLA,1.85E-96
TRINITY_DN5241_c0_g1_i9,sp|Q9YGN1|SAND_TAKRU,1.79E-48
TRINITY_DN19199_c0_g2_i1,sp|Q15NK9|TRMA_PSEA6,8.07E-37
TRINITY_DN4008_c0_g1_i5,sp|O14327|PAB2_SCHPO,1.01E-32
TRINITY_DN7561_c0_g1_i3,sp|Q9FFK8|NFXL2_ARATH,5.36E-119
TRINITY_DN16963_c0_g2_i4,sp|Q9V9A7|MCCB_DROME,0
TRINITY_DN11036_c0_g1_i2,sp|Q9C9R3|T112B_ARATH,1.86E-32
TRINITY_DN12040_c2_g1_i5,sp|Q9XWF4|IMPCT_CAEEL,7.17E-22
TRINITY_DN1118_c0_g1_i20,sp|Q54VV7|Y0111_DICDI,1.10E-33
TRINITY_DN12364_c0_g1_i7,sp|Q12184|ADRX_YEAST,2.47E-21
TRINITY_DN21534_c0_g2_i2,sp|Q7YR37|ABCF1_PANTR,4.37E-48
TRINITY_DN18452_c0_g1_i2,sp|Q9ERK0|RIPK4_MOUSE,2.51E-21
TRINITY_DN43928_c0_g1_i1,sp|Q7ZYL5|KF22B_XENLA,1.79E-21
TRINITY_DN3886_c0_g3_i5,sp|P31320|KAPR_BLAEM,1.02E-67
TRINITY_DN29871_c0_g1_i1,sp|Q552R1|DCAF7_DICDI,3.40E-39
TRINITY_DN2638_c0_g1_i6,sp|P24044|CALM_PLAFA,1.82E-32
TRINITY_DN55963_c0_g1_i1,sp|Q9V3A6|ERO1L_DROME,5.14E-28
TRINITY_DN3716_c0_g2_i3,sp|Q54JM9|NIT2_DICDI,7.26E-89
TRINITY_DN9765_c1_g1_i2,sp|Q8VBY2|KKCC1_MOUSE,7.91E-25
TRINITY_DN7516_c0_g1_i22,sp|O15865|CDPK2_PLAFK,1.33E-80
TRINITY_DN57755_c0_g1_i1,sp|Q7PPA5|ATC1_ANOGA,1.48E-29
TRINITY_DN36081_c0_g2_i1,sp|P29618|CDKA1_ORYSJ,2.66E-66
TRINITY_DN50531_c0_g1_i1,sp|Q5EAK6|ATM_DROME,5.77E-54
TRINITY_DN12498_c0_g1_i2,sp|Q8S9J2|SYYC1_ARATH,1.63E-123
TRINITY_DN15589_c0_g1_i1,sp|Q6P298|NUBP1_DANRE,1.68E-120
TRINITY_DN38565_c1_g3_i1,sp|Q8Q0U0|Y045_METMA,1.12E-29
TRINITY_DN48606_c0_g1_i1,sp|Q5RKH7|S35F6_RAT,3.08E-28
TRINITY_DN6392_c0_g1_i9,sp|P55180|GALE_BACSU,5.02E-141
TRINITY_DN3018_c0_g1_i8,sp|Q9SLA2|VATO2_ARATH,1.39E-54
TRINITY_DN10311_c0_g1_i11,sp|P28178|PK2_DICDI,4.14E-104
TRINITY_DN3138_c0_g1_i1,sp|Q38931|FKB62_ARATH,4.13E-24
TRINITY_DN16165_c0_g1_i3,sp|Q9SL67|PRS4B_ARATH,0
TRINITY_DN2191_c0_g1_i1,sp|Q5RA42|IF1AX_PONAB,1.04E-50
TRINITY_DN40284_c1_g1_i8,sp|O65359|SYP41_ARATH,4.18E-35
TRINITY_DN49462_c0_g1_i1,sp|Q8W4I9|AML1_ARATH,1.43E-32
TRINITY_DN53889_c0_g1_i1,sp|Q24799|MYPH_ECHGR,4.44E-26
TRINITY_DN15558_c0_g1_i3,sp|F1QC45|XRP2_DANRE,5.85E-28
TRINITY_DN56919_c0_g1_i1,sp|Q9H1H9|KI13A_HUMAN,2.49E-27
TRINITY_DN52977_c0_g1_i1,sp|Q01657|RSP6_CHLRE,3.85E-31
TRINITY_DN42895_c0_g1_i1,sp|P10090|WHITE_DROME,2.57E-63
TRINITY_DN22430_c0_g1_i1,sp|Q9BYT3|STK33_HUMAN,1.46E-45
TRINITY_DN5283_c1_g1_i2,sp|Q09689|IF5_SCHPO,5.78E-34
TRINITY_DN11104_c0_g1_i3,sp|Q7ZTK7|SMO2A_XENLA,2.62E-24
TRINITY_DN9490_c0_g1_i3,sp|P45857|ACDB_BACSU,4.45E-41
TRINITY_DN2467_c0_g2_i5,sp|Q2KDW6|DNAK_RHIEC,0
TRINITY_DN8753_c0_g1_i3,sp|Q9NV31|IMP3_HUMAN,2.05E-43
TRINITY_DN7687_c0_g1_i5,sp|O14036|SMD2_SCHPO,1.37E-35
TRINITY_DN12040_c2_g1_i1,sp|Q9XWF4|IMPCT_CAEEL,7.20E-22
TRINITY_DN4077_c0_g2_i3,sp|Q75JD5|PCKA_DICDI,0
TRINITY_DN42104_c0_g2_i1,sp|Q9SLK6|ALA6_ARATH,4.46E-41
TRINITY_DN2936_c0_g1_i15,sp|O24466|RAE1A_ARATH,1.29E-63
TRINITY_DN6744_c0_g1_i5,sp|Q8R3P7|CLUA1_MOUSE,1.01E-78
TRINITY_DN9119_c0_g1_i1,sp|P48223|CH10_CLOTH,6.25E-22
TRINITY_DN33024_c0_g1_i1,sp|Q05920|PYC_MOUSE,9.08E-101
TRINITY_DN50082_c0_g1_i1,sp|Q14679|TTLL4_HUMAN,5.37E-48
TRINITY_DN4533_c0_g1_i2,sp|Q9ULJ7|ANR50_HUMAN,7.69E-24
TRINITY_DN19887_c0_g1_i2,sp|Q9ULJ7|ANR50_HUMAN,3.69E-23
TRINITY_DN10357_c0_g1_i4,sp|B2RY56|RBM25_MOUSE,2.35E-24
TRINITY_DN58973_c0_g1_i1,sp|O94536|UCP12_SCHPO,8.48E-49
TRINITY_DN21534_c0_g1_i1,sp|Q7YR37|ABCF1_PANTR,3.37E-39
TRINITY_DN13822_c0_g1_i1,sp|Q01063|PDE4D_MOUSE,2.78E-39
TRINITY_DN10085_c0_g1_i5,sp|A3LT66|MCR1_PICST,5.19E-35
TRINITY_DN6919_c0_g2_i3,sp|O00909|ARF1_DICDI,7.48E-104
TRINITY_DN5238_c0_g1_i15,sp|Q01484|ANK2_HUMAN,3.29E-25
TRINITY_DN10206_c0_g1_i5,sp|Q08DJ8|HSF1_BOVIN,2.38E-61
TRINITY_DN10348_c0_g1_i2,sp|Q7XDC8|MDHC_ORYSJ,8.17E-84
TRINITY_DN10357_c0_g1_i2,sp|B2RY56|RBM25_MOUSE,1.95E-24
TRINITY_DN4161_c0_g1_i1,sp|Q54VU7|MAP12_DICDI,6.47E-65
TRINITY_DN36223_c0_g1_i1,sp|Q15058|KIF14_HUMAN,3.09E-40
TRINITY_DN3577_c0_g1_i1,sp|P41838|RAE1_SCHPO,1.20E-98
TRINITY_DN19419_c0_g3_i1,sp|Q3EDF8|PPR28_ARATH,5.05E-22
TRINITY_DN28092_c0_g2_i1,sp|Q9DAK2|PACRG_MOUSE,1.33E-70
TRINITY_DN58855_c0_g1_i1,sp|Q99758|ABCA3_HUMAN,2.28E-75
TRINITY_DN35436_c0_g1_i1,sp|P18294|KCRF_STRPU,2.37E-114
TRINITY_DN30768_c0_g1_i1,sp|Q9LZK5|DNJ19_ARATH,1.75E-39
TRINITY_DN6938_c0_g1_i6,sp|Q5FWL7|ZDH15_XENLA,2.04E-35
TRINITY_DN23987_c0_g1_i1,sp|Q63170|DYH7_RAT,4.16E-128
TRINITY_DN8107_c0_g1_i3,sp|Q9S7C0|HSP7O_ARATH,1.22E-155
TRINITY_DN16655_c3_g1_i2,sp|Q50568|FDHC_METTF,3.30E-26
TRINITY_DN458_c0_g1_i10,sp|P26182|ACT_ACHBI,0
TRINITY_DN1020_c0_g1_i6,sp|Q9VU02|SMD1_DROME,4.01E-31
TRINITY_DN4449_c0_g1_i2,sp|Q803Z2|YIPF3_DANRE,2.61E-21
TRINITY_DN9536_c0_g3_i2,sp|Q93HU4|NHAP_APHHA,1.91E-22
TRINITY_DN25178_c0_g3_i1,sp|Q8WXX0|DYH7_HUMAN,4.62E-115
TRINITY_DN3886_c1_g1_i4,sp|Q39584|DYL3_CHLRE,4.07E-37
TRINITY_DN14575_c0_g1_i3,sp|Q9D4W2|CK065_MOUSE,4.48E-39
TRINITY_DN15067_c0_g1_i2,sp|O75449|KTNA1_HUMAN,1.23E-90
TRINITY_DN23499_c0_g1_i1,sp|O28672|TRPB1_ARCFU,5.49E-72
TRINITY_DN19029_c0_g1_i1,sp|P31637|SC5A3_CANLF,1.67E-27
TRINITY_DN56156_c0_g1_i1,sp|P23098|DYHC_TRIGR,1.77E-90
TRINITY_DN38943_c0_g1_i4,sp|Q99571|P2RX4_HUMAN,1.10E-21
TRINITY_DN4718_c0_g1_i3,sp|Q9SB58|ZDH19_ARATH,1.85E-38
TRINITY_DN29443_c0_g1_i1,sp|Q32KV4|DC2L1_BOVIN,4.51E-24
TRINITY_DN11308_c0_g1_i2,sp|Q2TA06|AURKA_BOVIN,9.94E-25
TRINITY_DN12364_c0_g1_i8,sp|Q12184|ADRX_YEAST,4.39E-21
TRINITY_DN30768_c0_g1_i7,sp|Q9LZK5|DNJ19_ARATH,1.25E-39
TRINITY_DN9262_c1_g2_i2,sp|Q96PP9|GBP4_HUMAN,4.11E-48
TRINITY_DN12228_c1_g1_i1,sp|Q9SFW6|CCB24_ARATH,1.34E-33
TRINITY_DN4300_c0_g1_i10,sp|Q9LZF6|CD48E_ARATH,0
TRINITY_DN7815_c1_g1_i2,sp|Q64411|PEPC_CAVPO,7.37E-43
TRINITY_DN15988_c0_g1_i5,sp|Q5PQ63|IMP2L_XENLA,1.67E-21
TRINITY_DN12952_c0_g1_i2,sp|O33730|Y1503_SHEFN,6.25E-31
TRINITY_DN52444_c0_g1_i1,sp|Q9HV66|ACSA2_PSEAE,7.53E-88
TRINITY_DN27129_c0_g1_i1,sp|Q14191|WRN_HUMAN,1.18E-27
TRINITY_DN4578_c0_g1_i5,sp|F4K1R2|HINT3_ARATH,8.98E-26
TRINITY_DN10133_c0_g1_i1,sp|G5CEW6|IF4G_WHEAT,1.35E-21
TRINITY_DN21314_c0_g2_i1,sp|Q42883|ECAP_SOLLC,2.64E-45
TRINITY_DN2597_c0_g1_i1,sp|Q9UKK9|NUDT5_HUMAN,2.81E-38
TRINITY_DN5416_c0_g1_i10,sp|P90648|MHCKB_DICDI,2.28E-38
TRINITY_DN11798_c0_g1_i2,sp|Q9FN32|YIPL7_ARATH,9.38E-29
TRINITY_DN12952_c0_g1_i3,sp|O33730|Y1503_SHEFN,5.23E-30
TRINITY_DN11110_c0_g1_i5,sp|P49967|SR543_ARATH,0
TRINITY_DN13709_c0_g1_i4,sp|P43006|EAA2_MOUSE,3.24E-35
TRINITY_DN4220_c0_g1_i1,sp|O23087|ECA2_ARATH,5.79E-43
TRINITY_DN854_c0_g1_i5,sp|Q86U06|RBM23_HUMAN,1.62E-33
TRINITY_DN12972_c0_g1_i8,sp|B3EWZ3|CADN_ACRMI,2.24E-36
TRINITY_DN8927_c0_g1_i5,sp|Q5ZJ17|RBG1L_CHICK,6.14E-28
TRINITY_DN24343_c0_g5_i2,sp|Q6K641|IF4G2_ORYSJ,1.07E-32
TRINITY_DN6319_c0_g1_i4,sp|Q6AYB3|ISY1_RAT,1.10E-50
TRINITY_DN3141_c0_g2_i4,sp|Q06827|CATR_SCHDU,1.45E-59
TRINITY_DN59680_c0_g1_i1,sp|Q6Z829|WEE1_ORYSJ,1.24E-39
TRINITY_DN49717_c0_g1_i1,sp|Q6ZR08|DYH12_HUMAN,7.83E-54
TRINITY_DN59585_c0_g1_i1,sp|O24308|TOP2_PEA,1.01E-59
TRINITY_DN13109_c0_g1_i2,sp|Q8UVY2|BRX1_XENLA,1.96E-81
TRINITY_DN43636_c0_g1_i1,sp|Q3EDF8|PPR28_ARATH,2.89E-36
TRINITY_DN17091_c0_g1_i3,sp|Q9ZUA2|PP141_ARATH,7.45E-22
TRINITY_DN4290_c0_g1_i11,sp|Q5EB77|RAB18_RAT,8.01E-97
TRINITY_DN3232_c1_g2_i1,sp|P27996|H4_SOLST,1.46E-41
TRINITY_DN1136_c0_g1_i10,sp|O59922|KAPR_EMENI,2.26E-41
TRINITY_DN17264_c0_g3_i5,sp|Q9Y7X4|YGRG_SCHPO,1.18E-41
TRINITY_DN4008_c0_g1_i11,sp|O14327|PAB2_SCHPO,2.57E-32
TRINITY_DN13224_c0_g1_i1,sp|O23300|ECI3_ARATH,1.07E-22
TRINITY_DN21646_c0_g1_i1,sp|Q9VQN8|FIGL1_DROME,2.48E-29
TRINITY_DN13519_c1_g1_i6,sp|Q8NHH1|TTL11_HUMAN,2.92E-49
TRINITY_DN19135_c0_g1_i2,sp|Q5AYN6|CD123_EMENI,3.58E-23
TRINITY_DN17079_c0_g1_i1,sp|Q9STG6|DUT_ARATH,1.25E-62
TRINITY_DN9218_c0_g2_i1,sp|B2RW38|CFA58_MOUSE,1.11E-49
TRINITY_DN19302_c0_g1_i1,sp|P0C6B8|SVEP1_RAT,1.03E-22
TRINITY_DN10608_c0_g1_i1,sp|Q8IWZ3|ANKH1_HUMAN,4.32E-26
TRINITY_DN20959_c0_g1_i3,sp|A8I9E8|CFA45_CHLRE,3.52E-34
TRINITY_DN9014_c1_g1_i11,sp|Q57656|PUR5_METJA,3.48E-26
TRINITY_DN43362_c0_g1_i1,sp|Q8VWF5|AML5_ARATH,6.62E-21
TRINITY_DN8511_c1_g1_i6,sp|Q1LZ83|LACB2_BOVIN,7.47E-57
TRINITY_DN11642_c0_g1_i1,sp|P59223|RS131_ARATH,5.76E-78
TRINITY_DN13580_c0_g1_i1,sp|Q6RY07|CHIA_RAT,2.18E-64
TRINITY_DN1951_c0_g2_i9,sp|P48758|CBR1_MOUSE,1.03E-35
TRINITY_DN22430_c0_g1_i2,sp|A8WYE4|PAR1_CAEBR,4.24E-42
TRINITY_DN4640_c0_g1_i3,sp|Q9ZSK4|ADF3_ARATH,1.26E-26
TRINITY_DN30573_c0_g4_i1,sp|Q96RW7|HMCN1_HUMAN,1.28E-22
TRINITY_DN8034_c0_g1_i1,sp|Q9SIC9|PP178_ARATH,2.38E-50
TRINITY_DN26178_c0_g1_i6,sp|Q39571|YPTC1_CHLRE,1.26E-47
