Trinity_ID	GO_ID	GOslim	Biological_process
TRINITY_DN6448_c0_g2_i2	GO:0006302	stress response	P
TRINITY_DN6448_c0_g2_i3	GO:0006302	stress response	P
TRINITY_DN3693_c0_g1_i3	GO:0006302	stress response	P
TRINITY_DN1195_c0_g1_i1	GO:0006302	stress response	P
TRINITY_DN1195_c0_g1_i1	GO:0006302	stress response	P
TRINITY_DN1195_c0_g1_i2	GO:0006302	stress response	P
TRINITY_DN7567_c0_g1_i3	GO:0006302	stress response	P
TRINITY_DN5249_c0_g1_i1	GO:0006302	stress response	P
TRINITY_DN137_c0_g1_i3	GO:0006302	stress response	P
TRINITY_DN22081_c0_g1_i1	GO:0006302	stress response	P
TRINITY_DN2066_c0_g1_i1	GO:0006302	stress response	P
TRINITY_DN722_c0_g1_i3	GO:0006302	stress response	P
TRINITY_DN14199_c0_g1_i1	GO:0006302	stress response	P
TRINITY_DN9063_c0_g1_i3	GO:0006302	stress response	P
TRINITY_DN28412_c0_g1_i1	GO:0006302	stress response	P
TRINITY_DN6983_c0_g1_i6	GO:0006302	stress response	P
TRINITY_DN137_c0_g1_i1	GO:0006302	stress response	P
TRINITY_DN137_c0_g1_i1	GO:0006302	stress response	P
TRINITY_DN137_c0_g1_i2	GO:0006302	stress response	P
TRINITY_DN137_c0_g1_i2	GO:0006302	stress response	P
TRINITY_DN4244_c0_g1_i1	GO:0006302	stress response	P
TRINITY_DN1150_c0_g1_i1	GO:0006302	stress response	P
TRINITY_DN16494_c0_g1_i1	GO:0006302	stress response	P
TRINITY_DN814_c0_g1_i11	GO:0006302	stress response	P
TRINITY_DN814_c0_g1_i4	GO:0006302	stress response	P
TRINITY_DN814_c0_g1_i5	GO:0006302	stress response	P
TRINITY_DN814_c0_g1_i6	GO:0006302	stress response	P
TRINITY_DN814_c0_g1_i7	GO:0006302	stress response	P
TRINITY_DN15469_c0_g1_i1	GO:0006302	stress response	P
TRINITY_DN14797_c0_g1_i1	GO:0006302	stress response	P
TRINITY_DN4642_c0_g1_i1	GO:0006302	stress response	P
TRINITY_DN2312_c0_g1_i1	GO:0006302	stress response	P
TRINITY_DN2312_c0_g1_i2	GO:0006302	stress response	P
TRINITY_DN2312_c0_g1_i3	GO:0006302	stress response	P
TRINITY_DN8855_c0_g1_i1	GO:0006302	stress response	P
TRINITY_DN15679_c0_g1_i1	GO:0006302	stress response	P
TRINITY_DN19129_c0_g1_i2	GO:0006302	stress response	P
TRINITY_DN4715_c0_g1_i1	GO:0006302	stress response	P
TRINITY_DN7197_c0_g1_i1	GO:0006302	stress response	P
TRINITY_DN7197_c0_g2_i1	GO:0006302	stress response	P
TRINITY_DN1867_c0_g1_i1	GO:0006302	stress response	P
TRINITY_DN19984_c0_g1_i1	GO:0006302	stress response	P
TRINITY_DN3615_c0_g1_i2	GO:0006302	stress response	P
TRINITY_DN5867_c0_g1_i2	GO:0006302	stress response	P
TRINITY_DN8603_c0_g1_i1	GO:0006302	stress response	P
TRINITY_DN8603_c0_g1_i2	GO:0006302	stress response	P
TRINITY_DN362_c0_g1_i1	GO:0006303	stress response	P
TRINITY_DN362_c0_g1_i2	GO:0006303	stress response	P
TRINITY_DN3282_c0_g2_i3	GO:0006303	stress response	P
TRINITY_DN3282_c0_g2_i4	GO:0006303	stress response	P
TRINITY_DN1218_c0_g1_i5	GO:0006303	stress response	P
TRINITY_DN3027_c0_g1_i1	GO:0006303	stress response	P
TRINITY_DN3027_c0_g1_i19	GO:0006303	stress response	P
TRINITY_DN3027_c0_g1_i19	GO:0006303	stress response	P
TRINITY_DN3027_c0_g1_i24	GO:0006303	stress response	P
TRINITY_DN3027_c0_g1_i24	GO:0006303	stress response	P
TRINITY_DN3027_c0_g1_i30	GO:0006303	stress response	P
TRINITY_DN3027_c0_g1_i30	GO:0006303	stress response	P
TRINITY_DN3027_c0_g1_i33	GO:0006303	stress response	P
TRINITY_DN3027_c0_g1_i34	GO:0006303	stress response	P
TRINITY_DN3027_c0_g1_i38	GO:0006303	stress response	P
TRINITY_DN3027_c0_g1_i44	GO:0006303	stress response	P
TRINITY_DN3027_c0_g2_i1	GO:0006303	stress response	P
TRINITY_DN3104_c0_g1_i1	GO:0006303	stress response	P
TRINITY_DN5377_c0_g1_i2	GO:0006303	stress response	P
TRINITY_DN5377_c0_g1_i1	GO:0006303	stress response	P
TRINITY_DN3282_c0_g1_i1	GO:0006303	stress response	P
TRINITY_DN3282_c0_g2_i1	GO:0006303	stress response	P
TRINITY_DN3282_c0_g2_i2	GO:0006303	stress response	P
TRINITY_DN4676_c0_g1_i1	GO:0006303	stress response	P
TRINITY_DN1502_c0_g2_i1	GO:0006303	stress response	P
TRINITY_DN7920_c0_g1_i1	GO:0006303	stress response	P
TRINITY_DN937_c1_g1_i1	GO:0006303	stress response	P
TRINITY_DN12632_c0_g1_i2	GO:0006303	stress response	P
TRINITY_DN13657_c0_g1_i1	GO:0006303	stress response	P
TRINITY_DN5467_c0_g1_i1	GO:0006303	stress response	P
TRINITY_DN5373_c0_g1_i1	GO:0006303	stress response	P
TRINITY_DN5373_c0_g1_i3	GO:0006303	stress response	P
TRINITY_DN5373_c0_g3_i1	GO:0006303	stress response	P
TRINITY_DN27008_c0_g1_i1	GO:0006303	stress response	P
TRINITY_DN5835_c0_g1_i1	GO:0006303	stress response	P
TRINITY_DN3327_c0_g1_i1	GO:0006303	stress response	P
TRINITY_DN23359_c0_g1_i1	GO:0006303	stress response	P
TRINITY_DN3435_c0_g1_i1	GO:0006303	stress response	P
TRINITY_DN2066_c0_g1_i1	GO:0006303	stress response	P
TRINITY_DN14199_c0_g1_i1	GO:0006303	stress response	P
TRINITY_DN16157_c0_g1_i2	GO:0006303	stress response	P
TRINITY_DN6676_c0_g1_i1	GO:0006303	stress response	P
TRINITY_DN6676_c0_g2_i1	GO:0006303	stress response	P
TRINITY_DN12632_c0_g1_i1	GO:0006303	stress response	P
TRINITY_DN5273_c0_g1_i1	GO:0006303	stress response	P
TRINITY_DN5273_c0_g1_i2	GO:0006303	stress response	P
TRINITY_DN2046_c0_g3_i1	GO:0006303	stress response	P
TRINITY_DN2046_c0_g3_i3	GO:0006303	stress response	P
TRINITY_DN2317_c0_g1_i1	GO:0006303	stress response	P
TRINITY_DN9163_c0_g1_i1	GO:0006303	stress response	P
TRINITY_DN9163_c0_g1_i2	GO:0006303	stress response	P
TRINITY_DN5431_c0_g1_i2	GO:0006303	stress response	P
TRINITY_DN2312_c0_g1_i1	GO:0006303	stress response	P
TRINITY_DN2312_c0_g1_i2	GO:0006303	stress response	P
TRINITY_DN2312_c0_g1_i3	GO:0006303	stress response	P
TRINITY_DN5273_c0_g1_i3	GO:0006303	stress response	P
TRINITY_DN5273_c0_g1_i3	GO:0006303	stress response	P
TRINITY_DN2793_c0_g1_i1	GO:0006303	stress response	P
TRINITY_DN2793_c0_g1_i3	GO:0006303	stress response	P
TRINITY_DN2341_c0_g1_i1	GO:0006303	stress response	P
TRINITY_DN7197_c0_g1_i1	GO:0006303	stress response	P
TRINITY_DN7197_c0_g2_i1	GO:0006303	stress response	P
TRINITY_DN3037_c1_g1_i2	GO:0006307	stress response	P
TRINITY_DN6301_c0_g1_i1	GO:0006307	stress response	P
TRINITY_DN6301_c0_g1_i3	GO:0006307	stress response	P
TRINITY_DN8096_c0_g1_i1	GO:0006307	stress response	P
TRINITY_DN11314_c0_g1_i1	GO:0006307	stress response	P
TRINITY_DN11314_c0_g1_i2	GO:0006307	stress response	P
TRINITY_DN11314_c0_g1_i5	GO:0006307	stress response	P
TRINITY_DN11314_c0_g1_i6	GO:0006307	stress response	P
TRINITY_DN6301_c0_g1_i2	GO:0006307	stress response	P
TRINITY_DN3125_c0_g1_i1	GO:0006307	stress response	P
TRINITY_DN3125_c0_g1_i2	GO:0006307	stress response	P
TRINITY_DN3125_c0_g1_i2	GO:0006307	stress response	P
TRINITY_DN6210_c0_g1_i1	GO:0006950	stress response	P
TRINITY_DN5297_c0_g1_i1	GO:0006950	stress response	P
TRINITY_DN5297_c0_g1_i5	GO:0006950	stress response	P
TRINITY_DN2224_c0_g2_i1	GO:0006950	stress response	P
TRINITY_DN2224_c0_g2_i2	GO:0006950	stress response	P
TRINITY_DN1513_c0_g1_i2	GO:0006950	stress response	P
TRINITY_DN2774_c0_g1_i2	GO:0006950	stress response	P
TRINITY_DN2324_c0_g1_i3	GO:0006950	stress response	P
TRINITY_DN8178_c1_g1_i1	GO:0006950	stress response	P
TRINITY_DN6187_c0_g1_i3	GO:0006950	stress response	P
TRINITY_DN6187_c0_g1_i4	GO:0006950	stress response	P
TRINITY_DN27919_c0_g1_i1	GO:0006950	stress response	P
TRINITY_DN11169_c0_g1_i1	GO:0006950	stress response	P
TRINITY_DN1520_c0_g1_i1	GO:0006950	stress response	P
TRINITY_DN3706_c0_g1_i4	GO:0006950	stress response	P
TRINITY_DN28611_c0_g1_i1	GO:0006950	stress response	P
TRINITY_DN2539_c0_g1_i1	GO:0006950	stress response	P
TRINITY_DN17083_c0_g1_i1	GO:0006950	stress response	P
TRINITY_DN5628_c0_g1_i3	GO:0006950	stress response	P
TRINITY_DN6767_c1_g1_i1	GO:0006950	stress response	P
TRINITY_DN4342_c0_g1_i1	GO:0006950	stress response	P
TRINITY_DN3772_c0_g1_i1	GO:0006950	stress response	P
TRINITY_DN3170_c0_g1_i1	GO:0006952	stress response	P
TRINITY_DN3170_c0_g1_i2	GO:0006952	stress response	P
TRINITY_DN2682_c0_g1_i1	GO:0006952	stress response	P
TRINITY_DN310_c0_g1_i1	GO:0006952	stress response	P
TRINITY_DN310_c0_g1_i2	GO:0006952	stress response	P
TRINITY_DN8976_c0_g1_i1	GO:0006952	stress response	P
TRINITY_DN8976_c0_g1_i3	GO:0006952	stress response	P
TRINITY_DN8976_c0_g1_i4	GO:0006952	stress response	P
TRINITY_DN8976_c0_g1_i5	GO:0006952	stress response	P
TRINITY_DN8976_c0_g1_i7	GO:0006952	stress response	P
TRINITY_DN2922_c0_g1_i1	GO:0006952	stress response	P
TRINITY_DN8803_c0_g1_i1	GO:0006952	stress response	P
TRINITY_DN2646_c0_g1_i1	GO:0006952	stress response	P
TRINITY_DN7515_c0_g1_i1	GO:0006952	stress response	P
TRINITY_DN7515_c0_g1_i4	GO:0006952	stress response	P
TRINITY_DN16927_c0_g1_i1	GO:0006952	stress response	P
TRINITY_DN15849_c0_g1_i2	GO:0006952	stress response	P
TRINITY_DN5261_c1_g1_i1	GO:0006952	stress response	P
TRINITY_DN6641_c2_g1_i1	GO:0006952	stress response	P
TRINITY_DN6641_c2_g1_i2	GO:0006952	stress response	P
TRINITY_DN14795_c0_g1_i1	GO:0006952	stress response	P
TRINITY_DN15849_c0_g1_i1	GO:0006952	stress response	P
TRINITY_DN16317_c0_g1_i1	GO:0006952	stress response	P
TRINITY_DN18836_c0_g1_i1	GO:0006952	stress response	P
TRINITY_DN5261_c0_g1_i1	GO:0006952	stress response	P
TRINITY_DN5261_c0_g1_i2	GO:0006952	stress response	P
TRINITY_DN26831_c1_g1_i1	GO:0006953	stress response	P
TRINITY_DN9942_c0_g1_i1	GO:0006953	stress response	P
TRINITY_DN2824_c0_g1_i9	GO:0006953	stress response	P
TRINITY_DN1116_c0_g1_i7	GO:0006953	stress response	P
TRINITY_DN25793_c0_g1_i1	GO:0006953	stress response	P
TRINITY_DN11172_c0_g2_i1	GO:0006953	stress response	P
TRINITY_DN5840_c0_g1_i5	GO:0006953	stress response	P
TRINITY_DN482_c0_g1_i2	GO:0006953	stress response	P
TRINITY_DN482_c0_g1_i3	GO:0006953	stress response	P
TRINITY_DN482_c0_g1_i1	GO:0006953	stress response	P
TRINITY_DN482_c0_g1_i9	GO:0006953	stress response	P
TRINITY_DN1303_c0_g1_i1	GO:0006954	stress response	P
TRINITY_DN741_c0_g1_i1	GO:0006954	stress response	P
TRINITY_DN741_c0_g1_i2	GO:0006954	stress response	P
TRINITY_DN741_c0_g1_i3	GO:0006954	stress response	P
TRINITY_DN17206_c0_g1_i1	GO:0006954	stress response	P
TRINITY_DN1540_c0_g1_i8	GO:0006954	stress response	P
TRINITY_DN5395_c0_g1_i5	GO:0006954	stress response	P
TRINITY_DN1355_c0_g1_i1	GO:0006954	stress response	P
TRINITY_DN15486_c0_g1_i1	GO:0006954	stress response	P
TRINITY_DN4325_c0_g1_i1	GO:0006954	stress response	P
TRINITY_DN3767_c0_g1_i13	GO:0006954	stress response	P
TRINITY_DN3767_c0_g1_i4	GO:0006954	stress response	P
TRINITY_DN3767_c0_g1_i6	GO:0006954	stress response	P
TRINITY_DN9350_c0_g1_i2	GO:0006954	stress response	P
TRINITY_DN10509_c0_g2_i1	GO:0006954	stress response	P
TRINITY_DN9510_c0_g1_i2	GO:0006954	stress response	P
TRINITY_DN1824_c0_g1_i1	GO:0006954	stress response	P
TRINITY_DN11982_c0_g1_i3	GO:0006954	stress response	P
TRINITY_DN1062_c0_g1_i1	GO:0006954	stress response	P
TRINITY_DN1062_c0_g1_i2	GO:0006954	stress response	P
TRINITY_DN1062_c0_g1_i3	GO:0006954	stress response	P
TRINITY_DN1062_c0_g1_i4	GO:0006954	stress response	P
TRINITY_DN5141_c0_g1_i2	GO:0006954	stress response	P
TRINITY_DN5141_c0_g1_i5	GO:0006954	stress response	P
TRINITY_DN7529_c1_g1_i1	GO:0006954	stress response	P
TRINITY_DN5395_c0_g1_i1	GO:0006954	stress response	P
TRINITY_DN5395_c0_g1_i2	GO:0006954	stress response	P
TRINITY_DN21221_c0_g1_i1	GO:0006954	stress response	P
TRINITY_DN28151_c1_g1_i1	GO:0006954	stress response	P
TRINITY_DN7943_c0_g1_i1	GO:0006954	stress response	P
TRINITY_DN7710_c0_g1_i1	GO:0006954	stress response	P
TRINITY_DN1116_c0_g1_i7	GO:0006954	stress response	P
TRINITY_DN2151_c0_g1_i3	GO:0006954	stress response	P
TRINITY_DN14188_c0_g1_i1	GO:0006954	stress response	P
TRINITY_DN14955_c0_g1_i1	GO:0006954	stress response	P
TRINITY_DN12108_c0_g1_i1	GO:0006954	stress response	P
TRINITY_DN12108_c0_g1_i2	GO:0006954	stress response	P
TRINITY_DN26793_c0_g1_i1	GO:0006954	stress response	P
TRINITY_DN1990_c1_g1_i1	GO:0006954	stress response	P
TRINITY_DN1990_c1_g1_i2	GO:0006954	stress response	P
TRINITY_DN720_c0_g1_i4	GO:0006954	stress response	P
TRINITY_DN1303_c0_g1_i4	GO:0006954	stress response	P
TRINITY_DN2818_c0_g1_i1	GO:0006954	stress response	P
TRINITY_DN3274_c0_g1_i1	GO:0006954	stress response	P
TRINITY_DN5077_c0_g1_i2	GO:0006954	stress response	P
TRINITY_DN5077_c0_g1_i3	GO:0006954	stress response	P
TRINITY_DN14180_c0_g1_i1	GO:0006954	stress response	P
TRINITY_DN23927_c0_g1_i1	GO:0006954	stress response	P
TRINITY_DN1303_c0_g1_i3	GO:0006954	stress response	P
TRINITY_DN3864_c0_g1_i1	GO:0006954	stress response	P
TRINITY_DN3864_c0_g1_i3	GO:0006954	stress response	P
TRINITY_DN4743_c0_g1_i1	GO:0006954	stress response	P
TRINITY_DN3187_c0_g1_i1	GO:0006954	stress response	P
TRINITY_DN138_c0_g1_i1	GO:0006954	stress response	P
TRINITY_DN1225_c0_g1_i1	GO:0006954	stress response	P
TRINITY_DN1225_c0_g1_i2	GO:0006954	stress response	P
TRINITY_DN1225_c0_g1_i4	GO:0006954	stress response	P
TRINITY_DN2590_c0_g1_i1	GO:0006954	stress response	P
TRINITY_DN2590_c0_g1_i2	GO:0006954	stress response	P
TRINITY_DN2590_c0_g1_i3	GO:0006954	stress response	P
TRINITY_DN2590_c0_g1_i4	GO:0006954	stress response	P
TRINITY_DN9732_c0_g1_i1	GO:0006954	stress response	P
TRINITY_DN331_c0_g1_i1	GO:0006954	stress response	P
TRINITY_DN11172_c0_g1_i1	GO:0006954	stress response	P
TRINITY_DN11172_c0_g1_i2	GO:0006954	stress response	P
TRINITY_DN169_c0_g1_i22	GO:0006956	stress response	P
TRINITY_DN12915_c0_g1_i1	GO:0006956	stress response	P
TRINITY_DN169_c0_g1_i22	GO:0006957	stress response	P
TRINITY_DN1941_c0_g1_i3	GO:0006958	stress response	P
TRINITY_DN6580_c0_g1_i1	GO:0006958	stress response	P
TRINITY_DN23991_c0_g1_i1	GO:0006958	stress response	P
TRINITY_DN2682_c0_g1_i1	GO:0006963	stress response	P
TRINITY_DN310_c0_g1_i1	GO:0006963	stress response	P
TRINITY_DN310_c0_g1_i2	GO:0006963	stress response	P
TRINITY_DN0_c1_g1_i1	GO:0006963	stress response	P
TRINITY_DN0_c1_g1_i2	GO:0006963	stress response	P
TRINITY_DN0_c1_g1_i3	GO:0006963	stress response	P
TRINITY_DN8976_c0_g1_i1	GO:0006964	stress response	P
TRINITY_DN8976_c0_g1_i3	GO:0006964	stress response	P
TRINITY_DN8976_c0_g1_i4	GO:0006964	stress response	P
TRINITY_DN8976_c0_g1_i5	GO:0006964	stress response	P
TRINITY_DN8976_c0_g1_i7	GO:0006964	stress response	P
TRINITY_DN0_c1_g1_i1	GO:0006964	stress response	P
TRINITY_DN0_c1_g1_i2	GO:0006964	stress response	P
TRINITY_DN0_c1_g1_i3	GO:0006964	stress response	P
TRINITY_DN2682_c0_g1_i1	GO:0006967	stress response	P
TRINITY_DN310_c0_g1_i1	GO:0006967	stress response	P
TRINITY_DN310_c0_g1_i2	GO:0006967	stress response	P
TRINITY_DN2646_c0_g1_i1	GO:0006967	stress response	P
TRINITY_DN0_c1_g1_i1	GO:0006967	stress response	P
TRINITY_DN0_c1_g1_i2	GO:0006967	stress response	P
TRINITY_DN0_c1_g1_i3	GO:0006967	stress response	P
TRINITY_DN19987_c0_g1_i1	GO:0006968	stress response	P
TRINITY_DN438_c0_g3_i1	GO:0006968	stress response	P
TRINITY_DN1187_c0_g2_i1	GO:0006970	stress response	P
TRINITY_DN1187_c0_g2_i2	GO:0006970	stress response	P
TRINITY_DN3706_c0_g1_i2	GO:0006970	stress response	P
TRINITY_DN1077_c0_g1_i2	GO:0006970	stress response	P
TRINITY_DN1077_c0_g1_i3	GO:0006970	stress response	P
TRINITY_DN1762_c0_g1_i1	GO:0006970	stress response	P
TRINITY_DN6717_c0_g2_i1	GO:0006970	stress response	P
TRINITY_DN9175_c0_g1_i1	GO:0006970	stress response	P
TRINITY_DN1077_c0_g1_i1	GO:0006970	stress response	P
TRINITY_DN1077_c0_g1_i4	GO:0006970	stress response	P
TRINITY_DN1077_c0_g1_i5	GO:0006970	stress response	P
TRINITY_DN18795_c0_g1_i1	GO:0006971	stress response	P
TRINITY_DN2603_c0_g1_i1	GO:0006971	stress response	P
TRINITY_DN2603_c0_g1_i2	GO:0006971	stress response	P
TRINITY_DN2603_c0_g1_i4	GO:0006971	stress response	P
TRINITY_DN151_c0_g2_i2	GO:0006972	stress response	P
TRINITY_DN151_c0_g2_i4	GO:0006972	stress response	P
TRINITY_DN151_c0_g2_i5	GO:0006972	stress response	P
TRINITY_DN6321_c0_g1_i8	GO:0006972	stress response	P
TRINITY_DN6717_c0_g2_i1	GO:0006972	stress response	P
TRINITY_DN2603_c0_g1_i1	GO:0006972	stress response	P
TRINITY_DN2603_c0_g1_i2	GO:0006972	stress response	P
TRINITY_DN2603_c0_g1_i4	GO:0006972	stress response	P
TRINITY_DN22968_c0_g1_i1	GO:0006974	stress response	P
TRINITY_DN12711_c0_g1_i1	GO:0006974	stress response	P
TRINITY_DN1596_c0_g1_i2	GO:0006974	stress response	P
TRINITY_DN6688_c0_g1_i2	GO:0006974	stress response	P
TRINITY_DN5683_c0_g1_i2	GO:0006974	stress response	P
TRINITY_DN16773_c0_g1_i1	GO:0006974	stress response	P
TRINITY_DN2029_c0_g1_i3	GO:0006974	stress response	P
TRINITY_DN4883_c0_g1_i1	GO:0006974	stress response	P
TRINITY_DN4883_c0_g1_i3	GO:0006974	stress response	P
TRINITY_DN2947_c0_g1_i1	GO:0006974	stress response	P
TRINITY_DN2947_c0_g1_i2	GO:0006974	stress response	P
TRINITY_DN3357_c0_g1_i2	GO:0006974	stress response	P
TRINITY_DN9921_c0_g1_i1	GO:0006974	stress response	P
TRINITY_DN12516_c0_g1_i1	GO:0006974	stress response	P
TRINITY_DN12516_c0_g1_i2	GO:0006974	stress response	P
TRINITY_DN20481_c0_g1_i1	GO:0006974	stress response	P
TRINITY_DN329_c0_g1_i2	GO:0006974	stress response	P
TRINITY_DN19835_c0_g1_i1	GO:0006974	stress response	P
TRINITY_DN8109_c0_g1_i1	GO:0006974	stress response	P
TRINITY_DN25735_c0_g1_i1	GO:0006974	stress response	P
TRINITY_DN7264_c0_g1_i6	GO:0006974	stress response	P
TRINITY_DN7264_c1_g1_i2	GO:0006974	stress response	P
TRINITY_DN329_c0_g1_i1	GO:0006974	stress response	P
TRINITY_DN18252_c1_g1_i1	GO:0006974	stress response	P
TRINITY_DN18252_c1_g1_i2	GO:0006974	stress response	P
TRINITY_DN24476_c0_g1_i1	GO:0006974	stress response	P
TRINITY_DN5683_c0_g1_i5	GO:0006974	stress response	P
TRINITY_DN5683_c0_g1_i6	GO:0006974	stress response	P
TRINITY_DN5909_c0_g1_i1	GO:0006974	stress response	P
TRINITY_DN2029_c0_g1_i1	GO:0006974	stress response	P
TRINITY_DN2029_c0_g1_i2	GO:0006974	stress response	P
TRINITY_DN5113_c0_g1_i1	GO:0006974	stress response	P
TRINITY_DN5113_c0_g1_i2	GO:0006974	stress response	P
TRINITY_DN10557_c0_g1_i1	GO:0006974	stress response	P
TRINITY_DN10557_c0_g1_i2	GO:0006974	stress response	P
TRINITY_DN5662_c0_g1_i1	GO:0006974	stress response	P
TRINITY_DN13552_c0_g1_i1	GO:0006974	stress response	P
TRINITY_DN1695_c0_g2_i1	GO:0006974	stress response	P
TRINITY_DN1695_c0_g2_i3	GO:0006974	stress response	P
TRINITY_DN1695_c0_g2_i5	GO:0006974	stress response	P
TRINITY_DN1695_c0_g2_i7	GO:0006974	stress response	P
TRINITY_DN2271_c0_g1_i1	GO:0006974	stress response	P
TRINITY_DN19883_c0_g1_i2	GO:0006974	stress response	P
TRINITY_DN5867_c0_g1_i1	GO:0006974	stress response	P
TRINITY_DN701_c0_g1_i1	GO:0006974	stress response	P
TRINITY_DN4951_c0_g1_i2	GO:0006974	stress response	P
TRINITY_DN4951_c0_g1_i5	GO:0006974	stress response	P
TRINITY_DN1218_c0_g1_i5	GO:0006974	stress response	P
TRINITY_DN3027_c0_g1_i1	GO:0006974	stress response	P
TRINITY_DN3027_c0_g1_i19	GO:0006974	stress response	P
TRINITY_DN3027_c0_g1_i24	GO:0006974	stress response	P
TRINITY_DN3027_c0_g1_i30	GO:0006974	stress response	P
TRINITY_DN3027_c0_g1_i33	GO:0006974	stress response	P
TRINITY_DN3027_c0_g1_i34	GO:0006974	stress response	P
TRINITY_DN3027_c0_g1_i38	GO:0006974	stress response	P
TRINITY_DN3027_c0_g1_i44	GO:0006974	stress response	P
TRINITY_DN3027_c0_g2_i1	GO:0006974	stress response	P
TRINITY_DN5377_c0_g1_i2	GO:0006974	stress response	P
TRINITY_DN12_c0_g1_i1	GO:0006974	stress response	P
TRINITY_DN3157_c1_g1_i12	GO:0006974	stress response	P
TRINITY_DN3157_c1_g1_i15	GO:0006974	stress response	P
TRINITY_DN3157_c1_g1_i22	GO:0006974	stress response	P
TRINITY_DN3157_c1_g1_i23	GO:0006974	stress response	P
TRINITY_DN3157_c1_g1_i28	GO:0006974	stress response	P
TRINITY_DN3157_c1_g1_i9	GO:0006974	stress response	P
TRINITY_DN1762_c0_g1_i1	GO:0006974	stress response	P
TRINITY_DN28280_c0_g1_i1	GO:0006974	stress response	P
TRINITY_DN4587_c0_g1_i1	GO:0006974	stress response	P
TRINITY_DN1519_c0_g2_i1	GO:0006974	stress response	P
TRINITY_DN8096_c0_g1_i1	GO:0006974	stress response	P
TRINITY_DN23859_c0_g1_i2	GO:0006974	stress response	P
TRINITY_DN3191_c0_g1_i2	GO:0006974	stress response	P
TRINITY_DN13013_c0_g1_i1	GO:0006974	stress response	P
TRINITY_DN302_c0_g1_i1	GO:0006974	stress response	P
TRINITY_DN22253_c0_g1_i1	GO:0006974	stress response	P
TRINITY_DN136_c0_g3_i1	GO:0006974	stress response	P
TRINITY_DN136_c0_g4_i1	GO:0006974	stress response	P
TRINITY_DN15917_c0_g1_i1	GO:0006974	stress response	P
TRINITY_DN19153_c0_g1_i1	GO:0006974	stress response	P
TRINITY_DN1977_c0_g1_i2	GO:0006974	stress response	P
TRINITY_DN1977_c0_g1_i3	GO:0006974	stress response	P
TRINITY_DN1080_c0_g3_i1	GO:0006974	stress response	P
TRINITY_DN4922_c0_g1_i1	GO:0006974	stress response	P
TRINITY_DN11148_c0_g1_i1	GO:0006974	stress response	P
TRINITY_DN3615_c0_g1_i1	GO:0006974	stress response	P
TRINITY_DN4461_c0_g1_i1	GO:0006974	stress response	P
TRINITY_DN4587_c0_g1_i2	GO:0006974	stress response	P
TRINITY_DN1544_c0_g1_i2	GO:0006974	stress response	P
TRINITY_DN25771_c0_g1_i1	GO:0006974	stress response	P
TRINITY_DN2646_c0_g1_i1	GO:0006974	stress response	P
TRINITY_DN26947_c0_g1_i1	GO:0006974	stress response	P
TRINITY_DN8672_c0_g1_i1	GO:0006974	stress response	P
TRINITY_DN7203_c0_g1_i2	GO:0006974	stress response	P
TRINITY_DN4783_c0_g1_i1	GO:0006974	stress response	P
TRINITY_DN5672_c0_g1_i1	GO:0006974	stress response	P
TRINITY_DN5672_c0_g1_i2	GO:0006974	stress response	P
TRINITY_DN5672_c0_g1_i5	GO:0006974	stress response	P
TRINITY_DN5672_c0_g1_i8	GO:0006974	stress response	P
TRINITY_DN5672_c0_g1_i9	GO:0006974	stress response	P
TRINITY_DN5662_c0_g1_i2	GO:0006974	stress response	P
TRINITY_DN18252_c1_g1_i3	GO:0006974	stress response	P
TRINITY_DN6663_c0_g1_i1	GO:0006974	stress response	P
TRINITY_DN6663_c0_g1_i2	GO:0006974	stress response	P
TRINITY_DN13932_c0_g1_i1	GO:0006974	stress response	P
TRINITY_DN6358_c0_g1_i1	GO:0006974	stress response	P
TRINITY_DN7977_c0_g1_i1	GO:0006974	stress response	P
TRINITY_DN7977_c0_g2_i1	GO:0006974	stress response	P
TRINITY_DN7977_c0_g3_i1	GO:0006974	stress response	P
TRINITY_DN1463_c0_g1_i1	GO:0006974	stress response	P
TRINITY_DN6240_c0_g1_i2	GO:0006974	stress response	P
TRINITY_DN14188_c0_g1_i1	GO:0006974	stress response	P
TRINITY_DN26886_c0_g1_i1	GO:0006974	stress response	P
TRINITY_DN6801_c0_g1_i1	GO:0006974	stress response	P
TRINITY_DN6801_c0_g1_i2	GO:0006974	stress response	P
TRINITY_DN8193_c0_g2_i1	GO:0006974	stress response	P
TRINITY_DN429_c0_g1_i4	GO:0006974	stress response	P
TRINITY_DN429_c0_g1_i8	GO:0006974	stress response	P
TRINITY_DN72_c0_g1_i5	GO:0006974	stress response	P
TRINITY_DN7133_c1_g1_i1	GO:0006974	stress response	P
TRINITY_DN13138_c0_g1_i1	GO:0006974	stress response	P
TRINITY_DN1218_c0_g1_i3	GO:0006974	stress response	P
TRINITY_DN1218_c0_g1_i6	GO:0006974	stress response	P
TRINITY_DN1218_c0_g1_i7	GO:0006974	stress response	P
TRINITY_DN1218_c0_g1_i8	GO:0006974	stress response	P
TRINITY_DN1218_c0_g1_i9	GO:0006974	stress response	P
TRINITY_DN28818_c0_g1_i1	GO:0006974	stress response	P
TRINITY_DN3027_c0_g1_i28	GO:0006974	stress response	P
TRINITY_DN9270_c0_g1_i1	GO:0006974	stress response	P
TRINITY_DN1201_c0_g1_i1	GO:0006974	stress response	P
