"","qseqid","sseqid","evalue","bitscore","staxids","sscinames","scomnames","sskingdoms"
"86523","TRINITY_DN12028_c0_g2_i1","gi|414073165|gb|JQ863320.1|",2.94e-129,473,"85552","Scylla paramamosain","green mud crab","Eukaryota"
"86524","TRINITY_DN12028_c0_g2_i2","gi|414073165|gb|JQ863320.1|",1.34e-79,307,"85552","Scylla paramamosain","green mud crab","Eukaryota"
"86628","TRINITY_DN53891_c0_g1_i1","gi|1187833870|gb|KU987447.1|",1.54e-21,114,"85552","Scylla paramamosain","green mud crab","Eukaryota"
"86635","TRINITY_DN27579_c0_g2_i1","gi|1435276285|gb|MF770486.1|",0,881,"210409","Portunus trituberculatus","swimming crab","Eukaryota"
"86636","TRINITY_DN27579_c0_g1_i1","gi|1435276285|gb|MF770486.1|",0,2428,"210409","Portunus trituberculatus","swimming crab","Eukaryota"
"86645","TRINITY_DN53931_c0_g1_i1","gi|682263607|gb|KF751391.1|",6.58e-32,149,"95602","Eriocheir sinensis","Chinese mitten crab","Eukaryota"
"86679","TRINITY_DN11297_c0_g1_i1","gi|327312304|gb|JF265066.1|",0,2724,"85552","Scylla paramamosain","green mud crab","Eukaryota"
"86694","TRINITY_DN11286_c1_g1_i1","gi|380743550|gb|JQ434471.1|",0,1229,"6763","Callinectes sapidus","blue crab","Eukaryota"
"86713","TRINITY_DN11293_c0_g2_i2","gi|402395905|gb|HM989973.3|",0,2717,"6769","Gecarcinus lateralis","blackback land crab","Eukaryota"
"86714","TRINITY_DN11293_c0_g2_i1","gi|402395905|gb|HM989973.3|",0,2717,"6769","Gecarcinus lateralis","blackback land crab","Eukaryota"
"86733","TRINITY_DN27645_c0_g1_i1","gi|906542626|gb|KJ728650.1|",3.53e-24,123,"85552","Scylla paramamosain","green mud crab","Eukaryota"
"86755","TRINITY_DN18512_c0_g2_i1","gi|433335637|gb|JQ771942.1|",1.1e-66,264,"6763","Callinectes sapidus","blue crab","Eukaryota"
"86756","TRINITY_DN18512_c0_g1_i1","gi|572982622|gb|KF697703.1|",0,729,"95602","Eriocheir sinensis","Chinese mitten crab","Eukaryota"
"86757","TRINITY_DN18512_c0_g1_i3","gi|195984198|gb|EU683889.1|",1.1e-160,578,"6759","Carcinus maenas","green crab","Eukaryota"
"86758","TRINITY_DN18512_c0_g1_i3","gi|195984198|gb|EU683889.1|",1.64e-82,318,"6759","Carcinus maenas","green crab","Eukaryota"
"86771","TRINITY_DN18562_c0_g1_i1","gi|389504781|gb|JN803927.1|",3.72e-22,116,"210409","Portunus trituberculatus","swimming crab","Eukaryota"
"86773","TRINITY_DN18543_c2_g2_i1","gi|530341201|gb|KC011818.1|",0,1043,"95602","Eriocheir sinensis","Chinese mitten crab","Eukaryota"
"86774","TRINITY_DN18543_c1_g1_i1","gi|89078342|gb|DQ388800.1|",1.43e-28,140,"95602","Eriocheir sinensis","Chinese mitten crab","Eukaryota"
"86780","TRINITY_DN18506_c0_g1_i1","gi|1079701681|emb|LT626243.1|",0,987,"85552","Scylla paramamosain","green mud crab","Eukaryota"
"86781","TRINITY_DN18506_c0_g1_i2","gi|1079701681|emb|LT626243.1|",0,987,"85552","Scylla paramamosain","green mud crab","Eukaryota"
"86786","TRINITY_DN5400_c0_g1_i1","gi|262401026|gb|FJ774694.1|",8.61e-76,297,"85552","Scylla paramamosain","green mud crab","Eukaryota"
"86789","TRINITY_DN5432_c0_g1_i7","gi|193075705|gb|EU794040.1|",7.11e-21,114,"210409","Portunus trituberculatus","swimming crab","Eukaryota"
"86790","TRINITY_DN5432_c0_g1_i1","gi|193075705|gb|EU794040.1|",6.16e-36,165,"210409","Portunus trituberculatus","swimming crab","Eukaryota"
"86791","TRINITY_DN5432_c0_g1_i3","gi|193075705|gb|EU794040.1|",1.29e-44,194,"210409","Portunus trituberculatus","swimming crab","Eukaryota"
"86852","TRINITY_DN5462_c0_g4_i1","gi|1236765647|gb|MF686592.1|",2.67e-21,116,"95602","Eriocheir sinensis","Chinese mitten crab","Eukaryota"
"86870","TRINITY_DN61052_c0_g1_i1","gi|589094706|gb|KF951619.1|",4.33e-65,259,"210409","Portunus trituberculatus","swimming crab","Eukaryota"
"86887","TRINITY_DN26735_c0_g1_i1","gi|1102132681|gb|KU986879.1|",0,1773,"39395","Cancer borealis","Jonah crab","Eukaryota"
"86905","TRINITY_DN10459_c0_g2_i1","gi|995975384|gb|KU175342.1|",3.56e-21,116,"95602","Eriocheir sinensis","Chinese mitten crab","Eukaryota"
"86920","TRINITY_DN10424_c0_g2_i1","gi|262401076|gb|FJ774719.1|",3.29e-89,342,"85552","Scylla paramamosain","green mud crab","Eukaryota"
"86933","TRINITY_DN4545_c0_g1_i1","gi|89078342|gb|DQ388800.1|",6.11e-28,136,"95602","Eriocheir sinensis","Chinese mitten crab","Eukaryota"
"86953","TRINITY_DN4518_c0_g2_i1","gi|1208038703|gb|KY303919.1|",2.1e-22,118,"95602","Eriocheir sinensis","Chinese mitten crab","Eukaryota"
"86954","TRINITY_DN4518_c0_g2_i1","gi|1208038703|gb|KY303919.1|",2.1e-22,118,"95602","Eriocheir sinensis","Chinese mitten crab","Eukaryota"
"86955","TRINITY_DN4518_c0_g2_i1","gi|1208038703|gb|KY303919.1|",2.1e-22,118,"95602","Eriocheir sinensis","Chinese mitten crab","Eukaryota"
"86956","TRINITY_DN4517_c0_g1_i4","gi|399207822|gb|JQ613218.1|",0,746,"95602","Eriocheir sinensis","Chinese mitten crab","Eukaryota"
"86957","TRINITY_DN4517_c0_g1_i1","gi|399207822|gb|JQ613218.1|",0,706,"95602","Eriocheir sinensis","Chinese mitten crab","Eukaryota"
"87025","TRINITY_DN4534_c0_g1_i1","gi|338224447|gb|HM217870.1|",6.21e-33,154,"85552","Scylla paramamosain","green mud crab","Eukaryota"
"87026","TRINITY_DN4534_c0_g1_i2","gi|338224447|gb|HM217870.1|",6.08e-33,154,"85552","Scylla paramamosain","green mud crab","Eukaryota"
"87027","TRINITY_DN4534_c1_g4_i1","gi|347439535|gb|JN415099.1|",2.1e-49,206,"85552","Scylla paramamosain","green mud crab","Eukaryota"
"87028","TRINITY_DN4534_c1_g1_i1","gi|347439535|gb|JN415099.1|",5.56e-21,113,"85552","Scylla paramamosain","green mud crab","Eukaryota"
"87029","TRINITY_DN4534_c1_g3_i1","gi|347439535|gb|JN415099.1|",5.37e-67,266,"85552","Scylla paramamosain","green mud crab","Eukaryota"
"87030","TRINITY_DN4534_c1_g2_i1","gi|347439535|gb|JN415099.1|",1.94e-21,116,"85552","Scylla paramamosain","green mud crab","Eukaryota"
"87099","TRINITY_DN4519_c0_g1_i1","gi|392315988|gb|JQ979190.1|",1.18e-34,159,"85552","Scylla paramamosain","green mud crab","Eukaryota"
"87104","TRINITY_DN4557_c3_g1_i3","gi|399138602|gb|JX081268.1|",0,1746,"85552","Scylla paramamosain","green mud crab","Eukaryota"
"87106","TRINITY_DN4557_c3_g1_i1","gi|399138602|gb|JX081268.1|",0,1746,"85552","Scylla paramamosain","green mud crab","Eukaryota"
"87109","TRINITY_DN4557_c0_g1_i1","gi|693302603|gb|KJ186099.1|",0,1382,"210409","Portunus trituberculatus","swimming crab","Eukaryota"
"87110","TRINITY_DN4553_c0_g1_i1","gi|262401274|gb|FJ774819.1|",3.66e-149,540,"85552","Scylla paramamosain","green mud crab","Eukaryota"
"87144","TRINITY_DN4551_c0_g1_i1","gi|576250910|gb|KC711046.1|",0,1811,"85552","Scylla paramamosain","green mud crab","Eukaryota"
"87145","TRINITY_DN4551_c0_g1_i1","gi|576250910|gb|KC711046.1|",3.71e-25,129,"85552","Scylla paramamosain","green mud crab","Eukaryota"
"87146","TRINITY_DN4551_c0_g1_i3","gi|576250910|gb|KC711046.1|",0,1811,"85552","Scylla paramamosain","green mud crab","Eukaryota"
"87147","TRINITY_DN4551_c0_g1_i3","gi|576250910|gb|KC711046.1|",3.64e-25,129,"85552","Scylla paramamosain","green mud crab","Eukaryota"
"87148","TRINITY_DN4551_c0_g1_i8","gi|576250910|gb|KC711046.1|",0,1979,"85552","Scylla paramamosain","green mud crab","Eukaryota"
"87149","TRINITY_DN4551_c0_g1_i5","gi|576250910|gb|KC711046.1|",0,2082,"85552","Scylla paramamosain","green mud crab","Eukaryota"
"87150","TRINITY_DN4551_c0_g1_i7","gi|576250910|gb|KC711046.1|",0,2082,"85552","Scylla paramamosain","green mud crab","Eukaryota"
"87151","TRINITY_DN4551_c0_g2_i1","gi|576250910|gb|KC711046.1|",9.93e-64,255,"85552","Scylla paramamosain","green mud crab","Eukaryota"
"87162","TRINITY_DN26900_c0_g1_i1","gi|1109582851|gb|KX037434.1|",7.83e-42,181,"39395","Cancer borealis","Jonah crab","Eukaryota"
"87176","TRINITY_DN52101_c0_g1_i1","gi|374095291|gb|JN809809.1|",2.19e-113,419,"39395","Cancer borealis","Jonah crab","Eukaryota"
"87180","TRINITY_DN52081_c0_g1_i1","gi|893688313|gb|KP733811.1|",9.94e-136,495,"95602","Eriocheir sinensis","Chinese mitten crab","Eukaryota"
"87194","TRINITY_DN17739_c0_g1_i1","gi|227150232|gb|FJ372907.1|",9.68e-66,260,"95602","Eriocheir sinensis","Chinese mitten crab","Eukaryota"
"87200","TRINITY_DN17715_c0_g1_i1","gi|1435276285|gb|MF770486.1|",5.48e-55,226,"210409","Portunus trituberculatus","swimming crab","Eukaryota"
"87206","TRINITY_DN17702_c2_g2_i1","gi|1236765647|gb|MF686592.1|",1.41e-28,138,"95602","Eriocheir sinensis","Chinese mitten crab","Eukaryota"
"87252","TRINITY_DN3671_c0_g1_i1","gi|1236765684|gb|MF686629.1|",0,931,"95602","Eriocheir sinensis","Chinese mitten crab","Eukaryota"
"87255","TRINITY_DN3671_c0_g1_i6","gi|1236765684|gb|MF686629.1|",0,931,"95602","Eriocheir sinensis","Chinese mitten crab","Eukaryota"
"87270","TRINITY_DN3681_c1_g3_i1","gi|262401056|gb|FJ774709.1|",3.43e-163,587,"85552","Scylla paramamosain","green mud crab","Eukaryota"
"87309","TRINITY_DN3670_c0_g1_i1","gi|957760924|gb|KR078364.1|",0,2515,"85552","Scylla paramamosain","green mud crab","Eukaryota"
"87310","TRINITY_DN3670_c0_g1_i2","gi|957760924|gb|KR078364.1|",0,1312,"85552","Scylla paramamosain","green mud crab","Eukaryota"
"87311","TRINITY_DN3670_c0_g1_i2","gi|957760924|gb|KR078364.1|",0,906,"85552","Scylla paramamosain","green mud crab","Eukaryota"
"87319","TRINITY_DN3672_c0_g1_i2","gi|262401260|gb|FJ774812.1|",1.35e-33,158,"85552","Scylla paramamosain","green mud crab","Eukaryota"
"87320","TRINITY_DN3672_c0_g1_i1","gi|262401260|gb|FJ774812.1|",2.44e-33,158,"85552","Scylla paramamosain","green mud crab","Eukaryota"
"87321","TRINITY_DN3672_c0_g1_i4","gi|262401260|gb|FJ774812.1|",2.44e-33,158,"85552","Scylla paramamosain","green mud crab","Eukaryota"
"87346","TRINITY_DN3633_c0_g1_i2","gi|2098752|gb|U92646.1|GLU92646",8.65e-29,138,"6769","Gecarcinus lateralis","blackback land crab","Eukaryota"
"87351","TRINITY_DN43028_c0_g1_i1","gi|1151123104|gb|KY487995.1|",1.05e-22,118,"210409","Portunus trituberculatus","swimming crab","Eukaryota"
"87373","TRINITY_DN25908_c0_g2_i1","gi|953224061|gb|KP691642.1|",9.71e-29,138,"95602","Eriocheir sinensis","Chinese mitten crab","Eukaryota"
"87392","TRINITY_DN2709_c1_g1_i1","gi|89078342|gb|DQ388800.1|",1.92e-33,154,"95602","Eriocheir sinensis","Chinese mitten crab","Eukaryota"
"87401","TRINITY_DN2723_c0_g1_i1","gi|1236765657|gb|MF686602.1|",8.82e-51,214,"95602","Eriocheir sinensis","Chinese mitten crab","Eukaryota"
"87402","TRINITY_DN2723_c0_g1_i1","gi|1236765657|gb|MF686602.1|",4.57e-29,141,"95602","Eriocheir sinensis","Chinese mitten crab","Eukaryota"
"87403","TRINITY_DN2723_c0_g1_i10","gi|1236765657|gb|MF686602.1|",8.14e-51,214,"95602","Eriocheir sinensis","Chinese mitten crab","Eukaryota"
"87404","TRINITY_DN2723_c0_g1_i10","gi|1236765657|gb|MF686602.1|",4.22e-29,141,"95602","Eriocheir sinensis","Chinese mitten crab","Eukaryota"
"87405","TRINITY_DN2723_c0_g1_i2","gi|1236765657|gb|MF686602.1|",8.72e-51,214,"95602","Eriocheir sinensis","Chinese mitten crab","Eukaryota"
"87406","TRINITY_DN2723_c0_g1_i2","gi|1236765657|gb|MF686602.1|",4.52e-29,141,"95602","Eriocheir sinensis","Chinese mitten crab","Eukaryota"
"87407","TRINITY_DN2723_c0_g1_i8","gi|1236765657|gb|MF686602.1|",8.95e-51,214,"95602","Eriocheir sinensis","Chinese mitten crab","Eukaryota"
"87408","TRINITY_DN2723_c0_g1_i8","gi|1236765657|gb|MF686602.1|",4.64e-29,141,"95602","Eriocheir sinensis","Chinese mitten crab","Eukaryota"
"87421","TRINITY_DN2780_c0_g1_i2","gi|1045308338|gb|KT428640.1|",3.1e-39,174,"210409","Portunus trituberculatus","swimming crab","Eukaryota"
"87422","TRINITY_DN2780_c0_g1_i5","gi|1045308338|gb|KT428640.1|",8.9e-40,176,"210409","Portunus trituberculatus","swimming crab","Eukaryota"
"87473","TRINITY_DN2737_c0_g5_i1","gi|1066131|gb|L49023.1|HINMSATA",3.6e-36,163,"41210","Chionoecetes opilio","snow crab","Eukaryota"
"87474","TRINITY_DN2737_c0_g3_i1","gi|1066131|gb|L49023.1|HINMSATA",3.6e-36,163,"41210","Chionoecetes opilio","snow crab","Eukaryota"
"87478","TRINITY_DN2767_c0_g1_i3","gi|262401022|gb|FJ774692.1|",6.69e-66,262,"85552","Scylla paramamosain","green mud crab","Eukaryota"
"87505","TRINITY_DN16997_c1_g1_i2","gi|1236765732|gb|MF686677.1|",1.15e-27,134,"95602","Eriocheir sinensis","Chinese mitten crab","Eukaryota"
"87506","TRINITY_DN16997_c1_g1_i1","gi|1236765732|gb|MF686677.1|",4.61e-27,132,"95602","Eriocheir sinensis","Chinese mitten crab","Eukaryota"
"87507","TRINITY_DN16970_c0_g2_i1","gi|820948190|gb|KP288227.1|",0,742,"210409","Portunus trituberculatus","swimming crab","Eukaryota"
"87645","TRINITY_DN49514_c0_g1_i1","gi|121484227|gb|EF102018.1|",2.72e-53,219,"80836","Portunus pelagicus","sand crab","Eukaryota"
"87650","TRINITY_DN8533_c0_g1_i2","gi|520188172|emb|HF952164.1|",1.42e-84,325,"85552","Scylla paramamosain","green mud crab","Eukaryota"
"87651","TRINITY_DN8533_c0_g1_i1","gi|520188172|emb|HF952164.1|",1.41e-84,325,"85552","Scylla paramamosain","green mud crab","Eukaryota"
"87665","TRINITY_DN8587_c0_g1_i1","gi|1238858045|ref|XM_013922707.2|",9.53e-23,120,"6850","Limulus polyphemus","Atlantic horseshoe crab","Eukaryota"
"87670","TRINITY_DN8570_c0_g1_i1","gi|219937541|emb|AM231066.1|",8.37e-23,118,"135190","Pachygrapsus marmoratus","marbled crab","Eukaryota"
"87812","TRINITY_DN15059_c0_g1_i3","gi|1236765732|gb|MF686677.1|",4.5e-33,152,"95602","Eriocheir sinensis","Chinese mitten crab","Eukaryota"
"87829","TRINITY_DN15013_c0_g3_i2","gi|338224304|gb|HM217789.1|",5.29e-82,315,"85552","Scylla paramamosain","green mud crab","Eukaryota"
"87830","TRINITY_DN15013_c0_g3_i1","gi|68137999|gb|DQ084066.1|",1.91e-75,293,"6763","Callinectes sapidus","blue crab","Eukaryota"
"87831","TRINITY_DN15013_c0_g1_i1","gi|338224304|gb|HM217789.1|",9.87e-22,114,"85552","Scylla paramamosain","green mud crab","Eukaryota"
"87836","TRINITY_DN15083_c0_g3_i1","gi|338224447|gb|HM217870.1|",6.29e-32,149,"85552","Scylla paramamosain","green mud crab","Eukaryota"
"87837","TRINITY_DN15083_c0_g1_i1","gi|347439535|gb|JN415099.1|",3.39e-33,152,"85552","Scylla paramamosain","green mud crab","Eukaryota"
"87838","TRINITY_DN15083_c0_g1_i2","gi|347439535|gb|JN415099.1|",3.39e-33,152,"85552","Scylla paramamosain","green mud crab","Eukaryota"
"87839","TRINITY_DN15083_c0_g4_i1","gi|1122815932|gb|KX785223.1|",3.08e-31,147,"95602","Eriocheir sinensis","Chinese mitten crab","Eukaryota"
"87846","TRINITY_DN15012_c4_g1_i1","gi|393827425|gb|JQ994481.1|",3.21e-66,264,"39395","Cancer borealis","Jonah crab","Eukaryota"
"87848","TRINITY_DN15061_c2_g1_i1","gi|89078342|gb|DQ388800.1|",1.67e-29,141,"95602","Eriocheir sinensis","Chinese mitten crab","Eukaryota"
"87849","TRINITY_DN15061_c0_g1_i1","gi|338224447|gb|HM217870.1|",3.11e-37,167,"85552","Scylla paramamosain","green mud crab","Eukaryota"
"87850","TRINITY_DN15061_c0_g1_i2","gi|338224447|gb|HM217870.1|",1.13e-35,161,"85552","Scylla paramamosain","green mud crab","Eukaryota"
"87851","TRINITY_DN15061_c0_g2_i1","gi|347439535|gb|JN415099.1|",2.38e-55,226,"85552","Scylla paramamosain","green mud crab","Eukaryota"
"87852","TRINITY_DN15061_c3_g1_i1","gi|338224447|gb|HM217870.1|",7.65e-23,118,"85552","Scylla paramamosain","green mud crab","Eukaryota"
"87853","TRINITY_DN41475_c0_g1_i1","gi|218156976|gb|FJ439621.1|",1.69e-36,165,"6761","Scylla serrata","giant mud crab","Eukaryota"
"87854","TRINITY_DN41404_c0_g1_i1","gi|1491815379|gb|MG756654.1|",1.76e-75,293,"85552","Scylla paramamosain","green mud crab","Eukaryota"
"87855","TRINITY_DN41404_c0_g1_i2","gi|1491815379|gb|MG756654.1|",0,1198,"85552","Scylla paramamosain","green mud crab","Eukaryota"
"87863","TRINITY_DN7601_c0_g1_i1","gi|89078342|gb|DQ388800.1|",8.5e-26,131,"95602","Eriocheir sinensis","Chinese mitten crab","Eukaryota"
"87864","TRINITY_DN7601_c0_g1_i3","gi|89078342|gb|DQ388800.1|",8.24e-26,131,"95602","Eriocheir sinensis","Chinese mitten crab","Eukaryota"
"87865","TRINITY_DN7601_c0_g1_i2","gi|89078342|gb|DQ388800.1|",8.41e-26,131,"95602","Eriocheir sinensis","Chinese mitten crab","Eukaryota"
"87867","TRINITY_DN7657_c1_g2_i2","gi|1238857292|ref|XM_013922430.2|",5.59e-108,405,"6850","Limulus polyphemus","Atlantic horseshoe crab","Eukaryota"
"87886","TRINITY_DN7679_c0_g1_i1","gi|465487173|gb|JX104651.1|",0,1584,"95602","Eriocheir sinensis","Chinese mitten crab","Eukaryota"
"87945","TRINITY_DN7672_c1_g1_i1","gi|906542626|gb|KJ728650.1|",5.59e-26,131,"85552","Scylla paramamosain","green mud crab","Eukaryota"
"87946","TRINITY_DN7672_c1_g1_i3","gi|906542626|gb|KJ728650.1|",8.78e-26,131,"85552","Scylla paramamosain","green mud crab","Eukaryota"
"87947","TRINITY_DN7672_c1_g1_i2","gi|906542626|gb|KJ728650.1|",8.54e-26,131,"85552","Scylla paramamosain","green mud crab","Eukaryota"
"87969","TRINITY_DN7693_c0_g1_i1","gi|684650585|gb|KF732871.1|",0,2594,"95602","Eriocheir sinensis","Chinese mitten crab","Eukaryota"
"87988","TRINITY_DN48658_c0_g1_i1","gi|262401338|gb|FJ774851.1|",2.36e-90,345,"85552","Scylla paramamosain","green mud crab","Eukaryota"
"88008","TRINITY_DN15166_c0_g1_i1","gi|1122815932|gb|KX785223.1|",9.87e-22,114,"95602","Eriocheir sinensis","Chinese mitten crab","Eukaryota"
"88044","TRINITY_DN48765_c0_g1_i1","gi|918463919|gb|KT159166.1|",1.36e-108,405,"95602","Eriocheir sinensis","Chinese mitten crab","Eukaryota"
"88050","TRINITY_DN48719_c0_g1_i1","gi|13677225|gb|AF034086.2|AF034086",0,740,"6772","Leptuca pugilator","Atlantic sand fiddler crab","Eukaryota"
"88052","TRINITY_DN48761_c0_g1_i1","gi|332168658|gb|JF831535.1|",1.33e-172,618,"85552","Scylla paramamosain","green mud crab","Eukaryota"
"88305","TRINITY_DN6723_c0_g1_i3","gi|338224454|gb|HM217874.1|",2.28e-24,127,"85552","Scylla paramamosain","green mud crab","Eukaryota"
"88306","TRINITY_DN6723_c0_g1_i1","gi|338224454|gb|HM217874.1|",2.31e-24,127,"85552","Scylla paramamosain","green mud crab","Eukaryota"
"88346","TRINITY_DN6795_c0_g1_i1","gi|902942565|gb|KR108011.1|",0,2695,"95602","Eriocheir sinensis","Chinese mitten crab","Eukaryota"
"88347","TRINITY_DN6795_c0_g1_i2","gi|902942565|gb|KR108011.1|",0,2695,"95602","Eriocheir sinensis","Chinese mitten crab","Eukaryota"
"148374","TRINITY_DN23377_c0_g1_i2","gi|224459351|gb|FJ657515.1|",0,1512,"85552","Scylla paramamosain","green mud crab","Eukaryota"
"148375","TRINITY_DN23377_c0_g1_i2","gi|224459351|gb|FJ657515.1|",8.2e-53,221,"85552","Scylla paramamosain","green mud crab","Eukaryota"
"148376","TRINITY_DN23377_c0_g1_i1","gi|224459351|gb|FJ657515.1|",0,798,"85552","Scylla paramamosain","green mud crab","Eukaryota"
"148377","TRINITY_DN23377_c0_g1_i1","gi|224459351|gb|FJ657515.1|",1.55e-156,565,"85552","Scylla paramamosain","green mud crab","Eukaryota"
"148378","TRINITY_DN23377_c0_g1_i1","gi|224459351|gb|FJ657515.1|",7.55e-53,221,"85552","Scylla paramamosain","green mud crab","Eukaryota"
"148382","TRINITY_DN23321_c0_g1_i3","gi|262401170|gb|FJ774767.1|",1.73e-79,309,"85552","Scylla paramamosain","green mud crab","Eukaryota"
"148383","TRINITY_DN23321_c0_g1_i1","gi|262401170|gb|FJ774767.1|",4.94e-80,311,"85552","Scylla paramamosain","green mud crab","Eukaryota"
"148384","TRINITY_DN23321_c0_g1_i2","gi|262401170|gb|FJ774767.1|",0,1150,"85552","Scylla paramamosain","green mud crab","Eukaryota"
"148413","TRINITY_DN40575_c0_g1_i1","gi|1127934912|gb|KY402080.1|",6e-101,378,"210409","Portunus trituberculatus","swimming crab","Eukaryota"
"148414","TRINITY_DN40575_c0_g2_i1","gi|1127934912|gb|KY402080.1|",1.31e-44,190,"210409","Portunus trituberculatus","swimming crab","Eukaryota"
"148433","TRINITY_DN14235_c0_g3_i1","gi|995975384|gb|KU175342.1|",1.93e-26,131,"95602","Eriocheir sinensis","Chinese mitten crab","Eukaryota"
"148461","TRINITY_DN14257_c0_g2_i5","gi|89078342|gb|DQ388800.1|",1.17e-52,221,"95602","Eriocheir sinensis","Chinese mitten crab","Eukaryota"
"148462","TRINITY_DN14257_c0_g2_i2","gi|89078342|gb|DQ388800.1|",1.17e-52,221,"95602","Eriocheir sinensis","Chinese mitten crab","Eukaryota"
"148463","TRINITY_DN14257_c0_g2_i1","gi|89078342|gb|DQ388800.1|",1.18e-52,221,"95602","Eriocheir sinensis","Chinese mitten crab","Eukaryota"
"148464","TRINITY_DN14257_c0_g2_i6","gi|89078342|gb|DQ388800.1|",1.16e-52,221,"95602","Eriocheir sinensis","Chinese mitten crab","Eukaryota"
"148465","TRINITY_DN14257_c0_g1_i1","gi|89078342|gb|DQ388800.1|",3.37e-53,223,"95602","Eriocheir sinensis","Chinese mitten crab","Eukaryota"
"148541","TRINITY_DN246_c0_g3_i1","gi|1236765732|gb|MF686677.1|",8.63e-44,188,"95602","Eriocheir sinensis","Chinese mitten crab","Eukaryota"
"148542","TRINITY_DN246_c0_g4_i2","gi|1236765732|gb|MF686677.1|",7.77e-30,141,"95602","Eriocheir sinensis","Chinese mitten crab","Eukaryota"
"148543","TRINITY_DN246_c0_g4_i4","gi|1236765732|gb|MF686677.1|",4.72e-50,210,"95602","Eriocheir sinensis","Chinese mitten crab","Eukaryota"
"148544","TRINITY_DN246_c0_g4_i3","gi|1236765732|gb|MF686677.1|",5.08e-61,246,"95602","Eriocheir sinensis","Chinese mitten crab","Eukaryota"
"148545","TRINITY_DN246_c0_g4_i1","gi|1236765732|gb|MF686677.1|",6e-24,122,"95602","Eriocheir sinensis","Chinese mitten crab","Eukaryota"
"148546","TRINITY_DN266_c1_g1_i3","gi|1388022463|gb|MG547692.1|",0,1115,"95602","Eriocheir sinensis","Chinese mitten crab","Eukaryota"
"148547","TRINITY_DN266_c1_g1_i5","gi|1388022463|gb|MG547692.1|",0,1166,"95602","Eriocheir sinensis","Chinese mitten crab","Eukaryota"
"148548","TRINITY_DN266_c1_g1_i5","gi|1388022463|gb|MG547692.1|",0,1115,"95602","Eriocheir sinensis","Chinese mitten crab","Eukaryota"
"148551","TRINITY_DN222_c0_g2_i2","gi|89078342|gb|DQ388800.1|",2.83e-41,181,"95602","Eriocheir sinensis","Chinese mitten crab","Eukaryota"
"148552","TRINITY_DN222_c0_g1_i2","gi|89078342|gb|DQ388800.1|",2.59e-24,125,"95602","Eriocheir sinensis","Chinese mitten crab","Eukaryota"
"148553","TRINITY_DN293_c0_g1_i1","gi|442540096|gb|JX987068.1|",0,2738,"85552","Scylla paramamosain","green mud crab","Eukaryota"
"148554","TRINITY_DN293_c0_g1_i1","gi|442540096|gb|JX987068.1|",5.17e-45,196,"85552","Scylla paramamosain","green mud crab","Eukaryota"
"148555","TRINITY_DN293_c0_g1_i3","gi|442540096|gb|JX987068.1|",0,2625,"85552","Scylla paramamosain","green mud crab","Eukaryota"
"148556","TRINITY_DN293_c0_g1_i3","gi|442540096|gb|JX987068.1|",5.17e-45,196,"85552","Scylla paramamosain","green mud crab","Eukaryota"
"148557","TRINITY_DN293_c0_g1_i2","gi|442540096|gb|JX987068.1|",3.51e-100,378,"85552","Scylla paramamosain","green mud crab","Eukaryota"
"148558","TRINITY_DN293_c0_g1_i2","gi|442540096|gb|JX987068.1|",2.37e-45,196,"85552","Scylla paramamosain","green mud crab","Eukaryota"
"148591","TRINITY_DN286_c0_g1_i3","gi|262401084|gb|FJ774723.1|",7.77e-132,482,"85552","Scylla paramamosain","green mud crab","Eukaryota"
"148592","TRINITY_DN286_c0_g1_i3","gi|262401084|gb|FJ774723.1|",4.92e-52,217,"85552","Scylla paramamosain","green mud crab","Eukaryota"
"148593","TRINITY_DN286_c0_g1_i2","gi|262401084|gb|FJ774723.1|",0,731,"85552","Scylla paramamosain","green mud crab","Eukaryota"
"148594","TRINITY_DN286_c0_g1_i1","gi|262401084|gb|FJ774723.1|",0,699,"85552","Scylla paramamosain","green mud crab","Eukaryota"
"148595","TRINITY_DN292_c0_g1_i2","gi|338224431|gb|HM217861.1|",1.47e-176,632,"85552","Scylla paramamosain","green mud crab","Eukaryota"
"148596","TRINITY_DN292_c0_g1_i1","gi|338224431|gb|HM217861.1|",1.55e-176,632,"85552","Scylla paramamosain","green mud crab","Eukaryota"
"148741","TRINITY_DN223_c1_g1_i25","gi|1236765647|gb|MF686592.1|",3.52e-26,131,"95602","Eriocheir sinensis","Chinese mitten crab","Eukaryota"
"148742","TRINITY_DN223_c1_g1_i21","gi|995975384|gb|KU175342.1|",8.52e-69,273,"95602","Eriocheir sinensis","Chinese mitten crab","Eukaryota"
"148743","TRINITY_DN223_c1_g1_i2","gi|465829240|gb|JX391924.1|",9.2e-37,165,"210409","Portunus trituberculatus","swimming crab","Eukaryota"
"148745","TRINITY_DN223_c1_g1_i4","gi|1236765647|gb|MF686592.1|",3.74e-26,131,"95602","Eriocheir sinensis","Chinese mitten crab","Eukaryota"
"148746","TRINITY_DN223_c1_g1_i16","gi|193075705|gb|EU794040.1|",5.67e-36,163,"210409","Portunus trituberculatus","swimming crab","Eukaryota"
"148747","TRINITY_DN223_c1_g1_i6","gi|193075705|gb|EU794040.1|",1.43e-39,176,"210409","Portunus trituberculatus","swimming crab","Eukaryota"
