Trinity_ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	V2	uniprot_acc_ID	V4	V5	V6	V7	V8.x	V9.x	V10.x	V11.x	V12	V13	V14	entry_name	review_status	protein_name	gene_name	organism	length	V8.y	V9.y	V10.y	V11.y	gene_ontology_IDs
TRINITY_DN16938_c0_g1_i1	84.37662066	7.380042872	1.285676956	5.740200005	9.46e-09	8.73e-07	sp	P0C1I8	CYP6_RHIO9	67.7	99	27	1	283	2	20	118	7.3e-33	141	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN16981_c0_g1_i1	58.9492176	9.232529451	1.70970821	5.400061482	6.66e-08	4.65e-06	sp	O95985	TOP3B_HUMAN	41.8	184	96	4	2	553	361	533	3.3e-36	153.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN17021_c0_g1_i1	32.47352574	6.955670361	1.73829074	4.001442451	6.3e-05	0.002130911	sp	O15067	PUR4_HUMAN	55.7	70	31	0	43	252	625	694	2.1e-12	72.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN17052_c0_g1_i1	185.0538844	6.97316581	0.92936338	7.503163952	6.23e-14	5.33e-11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN17062_c0_g1_i1	63.46982541	9.338803366	1.684516869	5.543906113	2.96e-08	2.35e-06	sp	Q0II91	DJC21_BOVIN	40.8	98	47	6	1	273	66	159	5.2e-09	61.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN17095_c0_g1_i1	137.5860915	9.034517769	1.51480226	5.964156515	2.46e-09	2.89e-07	sp	Q7Z695	ADCK2_HUMAN	32.4	111	73	2	22	348	419	529	8.7e-10	65.1	ADCK2_HUMAN	reviewed	Uncharacterized aarF domain-containing protein kinase 2 (EC 2.7.11.-)	ADCK2 AARF	Homo sapiens (Human)	626		integral component of membrane [GO:0016021]	ATP binding [GO:0005524]; protein serine/threonine kinase activity [GO:0004674]	integral component of membrane [GO:0016021]; ATP binding [GO:0005524]; protein serine/threonine kinase activity [GO:0004674]	GO:0004674; GO:0005524; GO:0016021
TRINITY_DN17136_c0_g3_i1	26.12684333	6.537143569	2.020105131	3.236041268	0.001211999	0.032515624	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN172_c0_g1_i2	105.9763369	10.07820995	1.613384273	6.246627115	4.19e-10	6.49e-08	sp	P0DJ52	RL8_TETTS	68.9	132	41	0	398	3	52	183	5.7e-49	194.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN17219_c0_g1_i1	88.72841241	7.455221757	1.295903856	5.752912705	8.77e-09	8.21e-07	sp	P48490	PP1_PHAVU	62.4	85	32	0	269	15	119	203	2.4e-30	132.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN17364_c0_g1_i1	117.1076773	6.115516295	1.023147756	5.97715849	2.27e-09	2.72e-07	sp	Q9FMG4	SC35_ARATH	45.5	77	42	0	267	37	16	92	8.4e-12	71.2	SC35_ARATH	reviewed	Serine/arginine-rich splicing factor SC35 (At-SC35) (AtSC35) (SC35-like splicing factor)	SC35 At5g64200 MSJ1.4	Arabidopsis thaliana (Mouse-ear cress)	303	mRNA splicing, via spliceosome [GO:0000398]; RNA splicing [GO:0008380]	cytosol [GO:0005829]; membrane [GO:0016020]; nuclear speck [GO:0016607]; spliceosomal complex [GO:0005681]	mRNA binding [GO:0003729]	cytosol [GO:0005829]; membrane [GO:0016020]; nuclear speck [GO:0016607]; spliceosomal complex [GO:0005681]; mRNA binding [GO:0003729]; mRNA splicing, via spliceosome [GO:0000398]; RNA splicing [GO:0008380]	GO:0000398; GO:0003729; GO:0005681; GO:0005829; GO:0008380; GO:0016020; GO:0016607
TRINITY_DN17377_c0_g1_i1	26.00665162	8.052145672	1.94944632	4.130478275	3.62e-05	0.001282687	sp	Q8T6J5	ABCA2_DICDI	41.7	151	83	3	444	1	639	787	4.9e-28	125.6	ABCA2_DICDI	reviewed	ABC transporter A family member 2 (ABC transporter ABCA.2)	abcA2 DDB_G0267438	Dictyostelium discoideum (Slime mold)	1621	lipid transport [GO:0006869]; transport [GO:0006810]	integral component of membrane [GO:0016021]; intracellular membrane-bounded organelle [GO:0043231]	ATPase activity, coupled to transmembrane movement of substances [GO:0042626]; ATP binding [GO:0005524]	integral component of membrane [GO:0016021]; intracellular membrane-bounded organelle [GO:0043231]; ATP binding [GO:0005524]; ATPase activity, coupled to transmembrane movement of substances [GO:0042626]; lipid transport [GO:0006869]; transport [GO:0006810]	GO:0005524; GO:0006810; GO:0006869; GO:0016021; GO:0042626; GO:0043231
TRINITY_DN17498_c0_g1_i1	120.2041925	5.811900752	1.04838322	5.543679681	2.96e-08	2.35e-06	sp	P49727	UCRI_MAIZE	67.7	124	38	1	2	373	152	273	1.7e-46	186.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN17579_c0_g1_i1	34.38016639	8.453676309	1.848599641	4.573016311	4.81e-06	0.000206419	sp	P05689	CATZ_BOVIN	47.5	99	37	2	15	287	211	302	2.5e-19	96.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN17590_c0_g1_i1	126.8550041	6.992723399	1.029266944	6.793887086	1.09e-11	3.27e-09	sp	P11348	DHPR_RAT	47.1	102	51	2	309	4	77	175	5.3e-16	85.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN17601_c0_g1_i1	185.5286854	6.293138561	0.995792874	6.319726444	2.62e-10	4.4e-08	sp	Q9QYI7	DNJB8_MOUSE	47.5	80	41	1	248	12	3	82	1e-14	81.6	DNJB8_MOUSE	reviewed	DnaJ homolog subfamily B member 8 (mDj6)	Dnajb8	Mus musculus (Mouse)	227	chaperone-mediated protein folding [GO:0061077]; negative regulation of inclusion body assembly [GO:0090084]	cytosol [GO:0005829]; nucleus [GO:0005634]	chaperone binding [GO:0051087]; protein binding involved in protein folding [GO:0044183]; unfolded protein binding [GO:0051082]	cytosol [GO:0005829]; nucleus [GO:0005634]; chaperone binding [GO:0051087]; protein binding involved in protein folding [GO:0044183]; unfolded protein binding [GO:0051082]; chaperone-mediated protein folding [GO:0061077]; negative regulation of inclusion body assembly [GO:0090084]	GO:0005634; GO:0005829; GO:0044183; GO:0051082; GO:0051087; GO:0061077; GO:0090084
TRINITY_DN17633_c0_g1_i1	440.4881544	7.28990484	0.931466778	7.826263926	5.03e-15	7.06e-12	sp	P00787	CATB_RAT	37.5	128	79	1	469	86	204	330	7.8e-21	101.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN17693_c0_g1_i1	7841.887862	7.384568984	1.023614202	7.214211143	5.42e-13	2.89e-10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN17820_c0_g1_i1	75.44738488	6.654718593	1.186100428	5.610586116	2.02e-08	1.7e-06	sp	Q84QC1	GCT23_ARATH	52	50	24	0	261	112	5	54	1.4e-08	60.5	GCT23_ARATH	reviewed	Gamma-glutamylcyclotransferase 2-3 (AtGGCT2;3) (EC 2.3.2.4) (Gamma-glutamyl cyclotransferase 2;3)	GGCT2;3 At1g44790 T12C22.6	Arabidopsis thaliana (Mouse-ear cress)	199	glutathione catabolic process [GO:0006751]	cytoplasm [GO:0005737]; cytosol [GO:0005829]	gamma-glutamylcyclotransferase activity [GO:0003839]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; gamma-glutamylcyclotransferase activity [GO:0003839]; glutathione catabolic process [GO:0006751]	GO:0003839; GO:0005737; GO:0005829; GO:0006751
TRINITY_DN1796_c0_g1_i1	506739.6382	-1.70995165	0.464260658	-3.683171556	0.00023035	0.007055815	sp	Q86PM2	KMO_AEDAE	75	140	13	1	472	53	297	414	1.6e-56	220.3	KMO_AEDAE	reviewed	Kynurenine 3-monooxygenase (EC 1.14.13.9) (Kynurenine 3-hydroxylase)	kh AAEL008879	Aedes aegypti (Yellowfever mosquito) (Culex aegypti)	476	NAD biosynthetic process [GO:0009435]; NAD metabolic process [GO:0019674]; quinolinate biosynthetic process [GO:0019805]; tryptophan catabolic process [GO:0006569]	integral component of membrane [GO:0016021]; mitochondrial outer membrane [GO:0005741]	FAD binding [GO:0071949]; kynurenine 3-monooxygenase activity [GO:0004502]	integral component of membrane [GO:0016021]; mitochondrial outer membrane [GO:0005741]; FAD binding [GO:0071949]; kynurenine 3-monooxygenase activity [GO:0004502]; NAD biosynthetic process [GO:0009435]; NAD metabolic process [GO:0019674]; quinolinate biosynthetic process [GO:0019805]; tryptophan catabolic process [GO:0006569]	GO:0004502; GO:0005741; GO:0006569; GO:0009435; GO:0016021; GO:0019674; GO:0019805; GO:0071949
TRINITY_DN17988_c0_g1_i1	34.66405382	8.466637224	1.846037908	4.586383186	4.51e-06	0.000195778	sp	Q9VQX4	PNCB_DROME	49.4	89	44	1	6	269	68	156	7.2e-19	94.4	PNCB_DROME	reviewed	Nicotinate phosphoribosyltransferase (NAPRTase) (EC 6.3.4.21)	CG3714	Drosophila melanogaster (Fruit fly)	555	NAD biosynthetic process [GO:0009435]; nicotinate nucleotide salvage [GO:0019358]; response to oxidative stress [GO:0006979]	cytosol [GO:0005829]	ligase activity [GO:0016874]; nicotinate-nucleotide diphosphorylase (carboxylating) activity [GO:0004514]; nicotinate phosphoribosyltransferase activity [GO:0004516]	cytosol [GO:0005829]; ligase activity [GO:0016874]; nicotinate phosphoribosyltransferase activity [GO:0004516]; nicotinate-nucleotide diphosphorylase (carboxylating) activity [GO:0004514]; NAD biosynthetic process [GO:0009435]; nicotinate nucleotide salvage [GO:0019358]; response to oxidative stress [GO:0006979]	GO:0004514; GO:0004516; GO:0005829; GO:0006979; GO:0009435; GO:0016874; GO:0019358
TRINITY_DN17988_c0_g2_i1	36.17976917	5.212937975	1.362292391	3.826592595	0.000129929	0.004154568	sp	Q95XX1	PNCB_CAEEL	55.2	67	24	1	184	2	10	76	2.3e-11	69.7	PNCB_CAEEL	reviewed	Nicotinate phosphoribosyltransferase (NAPRTase) (EC 6.3.4.21)	nprt-1 Y54G2A.17	Caenorhabditis elegans	562	NAD biosynthetic process [GO:0009435]; nicotinate nucleotide salvage [GO:0019358]; response to oxidative stress [GO:0006979]	cytosol [GO:0005829]	ligase activity [GO:0016874]; nicotinate-nucleotide diphosphorylase (carboxylating) activity [GO:0004514]; nicotinate phosphoribosyltransferase activity [GO:0004516]	cytosol [GO:0005829]; ligase activity [GO:0016874]; nicotinate phosphoribosyltransferase activity [GO:0004516]; nicotinate-nucleotide diphosphorylase (carboxylating) activity [GO:0004514]; NAD biosynthetic process [GO:0009435]; nicotinate nucleotide salvage [GO:0019358]; response to oxidative stress [GO:0006979]	GO:0004514; GO:0004516; GO:0005829; GO:0006979; GO:0009435; GO:0016874; GO:0019358
TRINITY_DN1801_c0_g1_i4	137.8066721	-5.425584299	1.383386604	-3.921958102	8.78e-05	0.002864381	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN18010_c0_g1_i1	812.7740061	7.392997046	2.227138619	3.319504671	0.000901773	0.02476727	sp	Q502K3	ANR52_DANRE	31.1	132	87	2	61	447	221	351	6.5e-09	62	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN18026_c0_g1_i1	142.9928855	6.607813857	0.974744538	6.779021167	1.21e-11	3.55e-09	sp	P32472	FKBP2_YEAST	57.8	90	33	1	392	138	42	131	2.9e-21	102.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN18057_c0_g1_i1	177.6781153	10.82410396	1.57939843	6.853308039	7.22e-12	2.43e-09	sp	Q3SZ63	NOP56_BOVIN	76.6	158	34	1	533	69	278	435	1.1e-58	227.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN18060_c0_g1_i1	120.4956122	5.02035256	1.185738503	4.233945804	2.3e-05	0.000844038	sp	Q28BT8	DUS3L_XENTR	51.9	77	33	2	248	21	403	476	3.7e-14	78.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN18202_c0_g1_i1	23.24084032	7.890076309	2.007366824	3.930560282	8.47e-05	0.00277762	sp	A0A0B4K7J2	RBP2_DROME	43.8	121	62	3	361	2	2020	2135	1.8e-18	93.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN1829_c0_g1_i11	22.11816326	7.817449662	2.005931009	3.897167763	9.73e-05	0.003153016	sp	Q86WG5	MTMRD_HUMAN	46.2	1662	681	32	4899	4	1	1479	0	1350.5	MTMRD_HUMAN	reviewed	Myotubularin-related protein 13 (SET-binding factor 2)	SBF2 CMT4B2 KIAA1766 MTMR13	Homo sapiens (Human)	1849	membrane organization [GO:0061024]; myelination [GO:0042552]; protein tetramerization [GO:0051262]	cytosol [GO:0005829]; membrane [GO:0016020]; vacuolar membrane [GO:0005774]	phosphatase binding [GO:0019902]; phosphatase regulator activity [GO:0019208]; phosphatidylinositol binding [GO:0035091]; protein homodimerization activity [GO:0042803]; Rab guanyl-nucleotide exchange factor activity [GO:0017112]	cytosol [GO:0005829]; membrane [GO:0016020]; vacuolar membrane [GO:0005774]; phosphatase binding [GO:0019902]; phosphatase regulator activity [GO:0019208]; phosphatidylinositol binding [GO:0035091]; protein homodimerization activity [GO:0042803]; Rab guanyl-nucleotide exchange factor activity [GO:0017112]; membrane organization [GO:0061024]; myelination [GO:0042552]; protein tetramerization [GO:0051262]	GO:0005774; GO:0005829; GO:0016020; GO:0017112; GO:0019208; GO:0019902; GO:0035091; GO:0042552; GO:0042803; GO:0051262; GO:0061024
TRINITY_DN18309_c0_g1_i1	96.07055527	5.838257892	1.095074793	5.331378213	9.75e-08	6.37e-06	sp	Q54JP5	OAT_DICDI	61.2	49	19	0	26	172	363	411	3.3e-12	72.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN18326_c0_g1_i1	129.1995132	5.037944732	1.198410626	4.203855192	2.62e-05	0.000951009	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN18376_c0_g1_i1	61.99777996	9.3052897	1.701940211	5.467459808	4.57e-08	3.39e-06	sp	Q653S3	P2C70_ORYSJ	47.8	46	24	0	147	284	159	204	1.3e-05	50.4	P2C70_ORYSJ	reviewed	Probable protein phosphatase 2C 70 (OsPP2C70) (EC 3.1.3.16)	Os09g0558000 LOC_Os09g38550 OJ1065_E04.2-1 OJ1065_E04.2-2 OsJ_029126	Oryza sativa subsp. japonica (Rice)	362			metal ion binding [GO:0046872]; protein serine/threonine phosphatase activity [GO:0004722]	metal ion binding [GO:0046872]; protein serine/threonine phosphatase activity [GO:0004722]	GO:0004722; GO:0046872
TRINITY_DN18423_c0_g1_i1	68.05189381	6.109877773	1.157969857	5.276370311	1.32e-07	8.25e-06	sp	Q91XI1	DUS3L_MOUSE	60.3	68	25	1	2	205	552	617	6.8e-14	77.4	DUS3L_MOUSE	reviewed	tRNA-dihydrouridine(47) synthase [NAD(P)(+)]-like (EC 1.3.1.-) (tRNA-dihydrouridine synthase 3-like)	Dus3l	Mus musculus (Mouse)	637			flavin adenine dinucleotide binding [GO:0050660]; metal ion binding [GO:0046872]; RNA binding [GO:0003723]; tRNA dihydrouridine synthase activity [GO:0017150]	flavin adenine dinucleotide binding [GO:0050660]; metal ion binding [GO:0046872]; RNA binding [GO:0003723]; tRNA dihydrouridine synthase activity [GO:0017150]	GO:0003723; GO:0017150; GO:0046872; GO:0050660
TRINITY_DN18522_c0_g1_i1	149.3429407	5.852908403	1.057706905	5.533582486	3.14e-08	2.47e-06	sp	Q4KLV7	F50AB_XENLA	55.1	89	40	0	290	24	199	287	1.5e-22	106.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN18533_c0_g1_i1	95.57473812	9.929754504	1.648946238	6.021878867	1.72e-09	2.17e-07	sp	F4IE66	PRP22_ARATH	57.5	73	30	1	2	220	104	175	2.9e-18	92	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN18572_c0_g1_i1	82.41010003	4.372866596	1.310488248	3.336822442	0.000847421	0.023471166	sp	Q6NW76	AURKB_DANRE	62	100	38	0	305	6	147	246	1.7e-32	139.8	AURKB_DANRE	reviewed	Aurora kinase B (EC 2.7.11.1) (Serine/threonine kinase A) (Serine/threonine-protein kinase 12) (Serine/threonine-protein kinase aurora-B)	aurkb stka	Danio rerio (Zebrafish) (Brachydanio rerio)	320	abscission [GO:0009838]; cellular response to UV [GO:0034644]; chromosome segregation [GO:0007059]; cleavage furrow formation [GO:0036089]; histone H3-S28 phosphorylation [GO:0043988]; microtubule cytoskeleton organization [GO:0000226]; mitotic cytokinesis [GO:0000281]; mitotic spindle midzone assembly [GO:0051256]; mitotic spindle organization [GO:0007052]; negative regulation of B cell apoptotic process [GO:0002903]; negative regulation of cytokinesis [GO:0032466]; negative regulation of transcription from RNA polymerase II promoter [GO:0000122]; positive regulation of cytokinesis [GO:0032467]; protein localization to kinetochore [GO:0034501]; protein phosphorylation [GO:0006468]; regulation of cytokinesis [GO:0032465]; spindle checkpoint [GO:0031577]	chromosome passenger complex [GO:0032133]; condensed nuclear chromosome, centromeric region [GO:0000780]; midbody [GO:0030496]; nucleus [GO:0005634]; spindle microtubule [GO:0005876]; spindle midzone [GO:0051233]; spindle pole centrosome [GO:0031616]	ATP binding [GO:0005524]; histone serine kinase activity [GO:0035174]; metal ion binding [GO:0046872]; protein serine/threonine/tyrosine kinase activity [GO:0004712]; protein serine/threonine kinase activity [GO:0004674]	chromosome passenger complex [GO:0032133]; condensed nuclear chromosome, centromeric region [GO:0000780]; midbody [GO:0030496]; nucleus [GO:0005634]; spindle microtubule [GO:0005876]; spindle midzone [GO:0051233]; spindle pole centrosome [GO:0031616]; ATP binding [GO:0005524]; histone serine kinase activity [GO:0035174]; metal ion binding [GO:0046872]; protein serine/threonine kinase activity [GO:0004674]; protein serine/threonine/tyrosine kinase activity [GO:0004712]; abscission [GO:0009838]; cellular response to UV [GO:0034644]; chromosome segregation [GO:0007059]; cleavage furrow formation [GO:0036089]; histone H3-S28 phosphorylation [GO:0043988]; microtubule cytoskeleton organization [GO:0000226]; mitotic cytokinesis [GO:0000281]; mitotic spindle midzone assembly [GO:0051256]; mitotic spindle organization [GO:0007052]; negative regulation of B cell apoptotic process [GO:0002903]; negative regulation of cytokinesis [GO:0032466]; negative regulation of transcription from RNA polymerase II promoter [GO:0000122]; positive regulation of cytokinesis [GO:0032467]; protein localization to kinetochore [GO:0034501]; protein phosphorylation [GO:0006468]; regulation of cytokinesis [GO:0032465]; spindle checkpoint [GO:0031577]	GO:0000122; GO:0000226; GO:0000281; GO:0000780; GO:0002903; GO:0004674; GO:0004712; GO:0005524; GO:0005634; GO:0005876; GO:0006468; GO:0007052; GO:0007059; GO:0009838; GO:0030496; GO:0031577; GO:0031616; GO:0032133; GO:0032465; GO:0032466; GO:0032467; GO:0034501; GO:0034644; GO:0035174; GO:0036089; GO:0043988; GO:0046872; GO:0051233; GO:0051256
TRINITY_DN18623_c0_g1_i1	174.682209	5.957701544	1.032190779	5.7718996	7.84e-09	7.53e-07	sp	B9Q0C2	DRE2_TOXGV	63.5	52	19	0	6	161	364	415	2.4e-13	76.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN1871_c0_g1_i8	19.72064741	7.652103396	2.053850459	3.725735418	0.000194747	0.006038272	sp	Q96PE3	INP4A_HUMAN	25.9	1256	614	26	3906	208	16	977	1.2e-81	307	INP4A_HUMAN	reviewed	Type I inositol 3,4-bisphosphate 4-phosphatase (EC 3.1.3.66) (Inositol polyphosphate 4-phosphatase type I)	INPP4A	Homo sapiens (Human)	977	inositol phosphate metabolic process [GO:0043647]; phosphatidylinositol biosynthetic process [GO:0006661]; signal transduction [GO:0007165]	cytoplasm [GO:0005737]; cytosol [GO:0005829]	inositol-1,3,4-trisphosphate 4-phosphatase activity [GO:0017161]; inositol-3,4-bisphosphate 4-phosphatase activity [GO:0052828]; phosphatidylinositol-3,4-bisphosphate 4-phosphatase activity [GO:0016316]; phosphatidylinositol-4,5-bisphosphate 4-phosphatase activity [GO:0034597]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; inositol-1,3,4-trisphosphate 4-phosphatase activity [GO:0017161]; inositol-3,4-bisphosphate 4-phosphatase activity [GO:0052828]; phosphatidylinositol-3,4-bisphosphate 4-phosphatase activity [GO:0016316]; phosphatidylinositol-4,5-bisphosphate 4-phosphatase activity [GO:0034597]; inositol phosphate metabolic process [GO:0043647]; phosphatidylinositol biosynthetic process [GO:0006661]; signal transduction [GO:0007165]	GO:0005737; GO:0005829; GO:0006661; GO:0007165; GO:0016316; GO:0017161; GO:0034597; GO:0043647; GO:0052828
TRINITY_DN18738_c0_g1_i1	70.53810061	7.126449978	1.325438449	5.376673644	7.59e-08	5.2e-06	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN1887_c0_g1_i1	21.77134054	-8.032081452	2.014734033	-3.986670856	6.7e-05	0.002248618	sp	Q6PDH0	PHLB1_MOUSE	62.4	157	57	2	407	874	1214	1369	1.2e-53	212.2	PHLB1_MOUSE	reviewed	Pleckstrin homology-like domain family B member 1 (Protein LL5-alpha)	Phldb1 Kiaa0638 Ll5a	Mus musculus (Mouse)	1371	positive regulation of basement membrane assembly involved in embryonic body morphogenesis [GO:1904261]; regulation of epithelial to mesenchymal transition [GO:0010717]; regulation of gastrulation [GO:0010470]; regulation of microtubule cytoskeleton organization [GO:0070507]	basal cortex [GO:0045180]		basal cortex [GO:0045180]; positive regulation of basement membrane assembly involved in embryonic body morphogenesis [GO:1904261]; regulation of epithelial to mesenchymal transition [GO:0010717]; regulation of gastrulation [GO:0010470]; regulation of microtubule cytoskeleton organization [GO:0070507]	GO:0010470; GO:0010717; GO:0045180; GO:0070507; GO:1904261
TRINITY_DN18884_c0_g1_i1	110.7430258	5.303151873	1.159615087	4.573200135	4.8e-06	0.000206419	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN18915_c0_g1_i1	67.20274294	9.42100709	1.676204283	5.620440889	1.9e-08	1.63e-06	sp	Q9M8D3	PUR4_ARATH	51.9	135	57	4	3	389	1271	1403	1.5e-30	134	PUR4_ARATH	reviewed	Probable phosphoribosylformylglycinamidine synthase, chloroplastic/mitochondrial (FGAM synthase) (FGAMS) (EC 6.3.5.3) (Formylglycinamide ribonucleotide amidotransferase) (FGAR amidotransferase) (FGAR-AT) (Formylglycinamide ribotide amidotransferase)	At1g74260 F1O17.7	Arabidopsis thaliana (Mouse-ear cress)	1407	'de novo' IMP biosynthetic process [GO:0006189]; glutamine metabolic process [GO:0006541]; microgametogenesis [GO:0055046]; pollen development [GO:0009555]	chloroplast [GO:0009507]; chloroplast stroma [GO:0009570]; mitochondrion [GO:0005739]	ATP binding [GO:0005524]; metal ion binding [GO:0046872]; phosphoribosylformylglycinamidine synthase activity [GO:0004642]	chloroplast [GO:0009507]; chloroplast stroma [GO:0009570]; mitochondrion [GO:0005739]; ATP binding [GO:0005524]; metal ion binding [GO:0046872]; phosphoribosylformylglycinamidine synthase activity [GO:0004642]; 'de novo' IMP biosynthetic process [GO:0006189]; glutamine metabolic process [GO:0006541]; microgametogenesis [GO:0055046]; pollen development [GO:0009555]	GO:0004642; GO:0005524; GO:0005739; GO:0006189; GO:0006541; GO:0009507; GO:0009555; GO:0009570; GO:0046872; GO:0055046
TRINITY_DN18972_c0_g1_i1	40.19454005	8.679206716	1.797329409	4.828946031	1.37e-06	6.7e-05	sp	P12955	PEPD_HUMAN	52.9	121	55	1	24	386	363	481	3.6e-29	129.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN18995_c0_g1_i1	110.6384515	8.720897789	1.536739536	5.674935526	1.39e-08	1.23e-06	sp	Q627N3	GLC7B_CAEBR	54.9	91	37	1	261	1	5	95	3.7e-23	108.6	GLC7B_CAEBR	reviewed	Serine/threonine-protein phosphatase PP1-beta (EC 3.1.3.16) (Glc seven-like phosphatase 2)	gsp-2 CBG00598	Caenorhabditis briggsae	333	cell division [GO:0051301]; covalent chromatin modification [GO:0016569]; meiotic cell cycle [GO:0051321]; multicellular organism development [GO:0007275]; peptidyl-serine dephosphorylation [GO:0070262]	chromosome [GO:0005694]; cytoplasm [GO:0005737]; nuclear membrane [GO:0031965]	metal ion binding [GO:0046872]; protein serine/threonine phosphatase activity [GO:0004722]	chromosome [GO:0005694]; cytoplasm [GO:0005737]; nuclear membrane [GO:0031965]; metal ion binding [GO:0046872]; protein serine/threonine phosphatase activity [GO:0004722]; cell division [GO:0051301]; covalent chromatin modification [GO:0016569]; meiotic cell cycle [GO:0051321]; multicellular organism development [GO:0007275]; peptidyl-serine dephosphorylation [GO:0070262]	GO:0004722; GO:0005694; GO:0005737; GO:0007275; GO:0016569; GO:0031965; GO:0046872; GO:0051301; GO:0051321; GO:0070262
TRINITY_DN19038_c0_g1_i1	291.8429169	6.694249632	0.947813906	7.062831204	1.63e-12	7.13e-10	sp	A7RWP6	EIF3E_NEMVE	52.2	161	74	1	515	33	271	428	7e-39	161.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN19103_c0_g1_i1	128.3367518	10.35479535	1.602835254	6.460299224	1.04e-10	2.03e-08	sp	Q7SXM7	PRP31_DANRE	47.8	134	68	1	7	402	96	229	6.2e-27	121.7	PRP31_DANRE	reviewed	U4/U6 small nuclear ribonucleoprotein Prp31 (Pre-mRNA-processing factor 31)	prpf31	Danio rerio (Zebrafish) (Brachydanio rerio)	508	mRNA splicing, via spliceosome [GO:0000398]; retina development in camera-type eye [GO:0060041]; spliceosomal tri-snRNP complex assembly [GO:0000244]	MLL1 complex [GO:0071339]; precatalytic spliceosome [GO:0071011]; spliceosomal tri-snRNP complex [GO:0097526]; U4/U6 x U5 tri-snRNP complex [GO:0046540]; U4atac snRNP [GO:0005690]; U4 snRNP [GO:0005687]	RNA binding [GO:0003723]	MLL1 complex [GO:0071339]; precatalytic spliceosome [GO:0071011]; spliceosomal tri-snRNP complex [GO:0097526]; U4 snRNP [GO:0005687]; U4/U6 x U5 tri-snRNP complex [GO:0046540]; U4atac snRNP [GO:0005690]; RNA binding [GO:0003723]; mRNA splicing, via spliceosome [GO:0000398]; retina development in camera-type eye [GO:0060041]; spliceosomal tri-snRNP complex assembly [GO:0000244]	GO:0000244; GO:0000398; GO:0003723; GO:0005687; GO:0005690; GO:0046540; GO:0060041; GO:0071011; GO:0071339; GO:0097526
